epoch: 0,  train auc: 0.9810590326650303,   val auc: 0.9820973575867737,  test auc: 0.9812881427775573
epoch: 1,  train auc: 0.9920126390321887,   val auc: 0.9924710268333962,  test auc: 0.9912736542516832
epoch: 2,  train auc: 0.9951808342135843,   val auc: 0.9952944537623979,  test auc: 0.9947607305686806
epoch: 3,  train auc: 0.998013016296417,   val auc: 0.9980958847178687,  test auc: 0.9976783280642958
epoch: 4,  train auc: 0.9980179329208513,   val auc: 0.9982189095072687,  test auc: 0.9971254221215455
epoch: 5,  train auc: 0.9982892239992135,   val auc: 0.9982739051960046,  test auc: 0.9977755229577996
epoch: 6,  train auc: 0.9989489953447628,   val auc: 0.9985068919056569,  test auc: 0.9982449356843428
epoch: 7,  train auc: 0.9989170397264774,   val auc: 0.9984700345100548,  test auc: 0.9982988538274881
epoch: 8,  train auc: 0.9995695838973506,   val auc: 0.9991836992929448,  test auc: 0.9988711665221168
epoch: 9,  train auc: 0.9994429226102401,   val auc: 0.9988760070497827,  test auc: 0.998560149993337
epoch: 10,  train auc: 0.9996543131035898,   val auc: 0.9992755079032127,  test auc: 0.998666777758401
epoch: 11,  train auc: 0.9994964282545988,   val auc: 0.9992143510648599,  test auc: 0.9987505752394656
epoch: 12,  train auc: 0.9998378600307185,   val auc: 0.9994503368037965,  test auc: 0.9988591807338234
epoch: 13,  train auc: 0.9996564491865365,   val auc: 0.9989975284886884,  test auc: 0.9987938554670965
epoch: 14,  train auc: 0.9996730304215994,   val auc: 0.9990381411238598,  test auc: 0.9984449242434178
epoch: 15,  train auc: 0.9997308965164294,   val auc: 0.9989626861186455,  test auc: 0.9986471291219876
epoch: 16,  train auc: 0.9994315753330755,   val auc: 0.9982695313064363,  test auc: 0.9983202297232947
epoch: 17,  train auc: 0.9998313578504295,   val auc: 0.9989774147957725,  test auc: 0.9985660223746651
epoch: 18,  train auc: 0.9997781775917288,   val auc: 0.9992747881844644,  test auc: 0.9982871071357281
epoch: 19,  train auc: 0.9999326704337923,   val auc: 0.9992905426767507,  test auc: 0.9990502541322959
epoch: 20,  train auc: 0.9999791149085362,   val auc: 0.9994306129105073,  test auc: 0.9991497944772432
epoch: 21,  train auc: 0.9998196549991265,   val auc: 0.9990901072876743,  test auc: 0.9987154721744431
epoch: 22,  train auc: 0.9999566776735217,   val auc: 0.9993623221028228,  test auc: 0.9989180312572051
epoch: 23,  train auc: 0.9999281065118966,   val auc: 0.9990693694699049,  test auc: 0.9988534074365785
epoch: 24,  train auc: 0.9999849739097478,   val auc: 0.9994423812278203,  test auc: 0.9991471809935841
epoch: 25,  train auc: 0.9999652160873737,   val auc: 0.999226195538701,  test auc: 0.999020222579082
epoch: 26,  train auc: 0.9999742862172578,   val auc: 0.9994530681659626,  test auc: 0.9989999983277266
epoch: 27,  train auc: 0.999990248695942,   val auc: 0.9996149756260783,  test auc: 0.9990446958169422
epoch: 28,  train auc: 0.9999462138300182,   val auc: 0.9990975111507026,  test auc: 0.9989357229712884
