epoch: 0,  train auc: 0.9745847442203615,   val auc: 0.9761654854007815,  test auc: 0.972519661604025
epoch: 1,  train auc: 0.992353832186489,   val auc: 0.9928621231271708,  test auc: 0.99150737551507
epoch: 2,  train auc: 0.9968528493607948,   val auc: 0.9972700771940621,  test auc: 0.9965685060082451
epoch: 3,  train auc: 0.9980578044424002,   val auc: 0.9982128472771437,  test auc: 0.9977723381477841
epoch: 4,  train auc: 0.9973093942067763,   val auc: 0.9973344975142077,  test auc: 0.9967627860801141
epoch: 5,  train auc: 0.9987307121610933,   val auc: 0.9986457762675593,  test auc: 0.9982326758037872
epoch: 6,  train auc: 0.9990033537064144,   val auc: 0.9988283504566241,  test auc: 0.9980914180082824
epoch: 7,  train auc: 0.9993953632265813,   val auc: 0.998531452368393,  test auc: 0.9983114864605322
epoch: 8,  train auc: 0.9992751848352002,   val auc: 0.9987721082031125,  test auc: 0.9983148019534686
epoch: 9,  train auc: 0.9993324854397982,   val auc: 0.9987897155251897,  test auc: 0.9983423102070624
epoch: 10,  train auc: 0.9995328593445605,   val auc: 0.9991191204878087,  test auc: 0.9985976416367333
epoch: 11,  train auc: 0.999312745138633,   val auc: 0.9984757174517073,  test auc: 0.9983208758466654
epoch: 12,  train auc: 0.9997193361272171,   val auc: 0.999136445719033,  test auc: 0.9987225117277918
epoch: 13,  train auc: 0.9998146087903796,   val auc: 0.999392243583004,  test auc: 0.9988489128167836
epoch: 14,  train auc: 0.9997200948303271,   val auc: 0.9991398125501461,  test auc: 0.9986601091722134
epoch: 15,  train auc: 0.9997897165164957,   val auc: 0.9990570915831364,  test auc: 0.9988040694663431
epoch: 16,  train auc: 0.9997199126731091,   val auc: 0.9991759978256758,  test auc: 0.998721566631938
epoch: 17,  train auc: 0.9994048174014901,   val auc: 0.9986705592550038,  test auc: 0.998182246392164
epoch: 18,  train auc: 0.9998161911540995,   val auc: 0.9992202428616335,  test auc: 0.9989179122598575
epoch: 19,  train auc: 0.9999671299304731,   val auc: 0.9996526157412596,  test auc: 0.9991484686787615
epoch: 20,  train auc: 0.9998688516328282,   val auc: 0.9993154956627444,  test auc: 0.9989462577762849
epoch: 21,  train auc: 0.9999606581515594,   val auc: 0.9995998819871624,  test auc: 0.9991775366600594
epoch: 22,  train auc: 0.9999730062919485,   val auc: 0.9996547621102874,  test auc: 0.9991559871874968
epoch: 23,  train auc: 0.9999743002936812,   val auc: 0.9996294978855118,  test auc: 0.9990149076609955
epoch: 24,  train auc: 0.999962438121191,   val auc: 0.9994775049713838,  test auc: 0.998991645763483
epoch: 25,  train auc: 0.9999768382847909,   val auc: 0.9996293909778977,  test auc: 0.999209266220241
epoch: 26,  train auc: 0.9999795682352813,   val auc: 0.9996363777485615,  test auc: 0.9990496207194958
epoch: 27,  train auc: 0.999993916642368,   val auc: 0.9995174251969151,  test auc: 0.9992964288398979
epoch: 28,  train auc: 0.9999788183582449,   val auc: 0.9996140830606097,  test auc: 0.9992174849472029
epoch: 29,  train auc: 0.9999676552313286,   val auc: 0.9994430060016478,  test auc: 0.999051415954932
epoch: 30,  train auc: 0.9999941528966352,   val auc: 0.9996471225486304,  test auc: 0.9990809582408039
epoch: 31,  train auc: 0.9999707922668318,   val auc: 0.9993670815780001,  test auc: 0.9992643069421238
epoch: 32,  train auc: 0.9999895516722425,   val auc: 0.9994966735850949,  test auc: 0.9990491893954584
epoch: 33,  train auc: 0.9999277576387076,   val auc: 0.999219303893341,  test auc: 0.998596182053237
epoch: 34,  train auc: 0.9999572339256037,   val auc: 0.9994064222264656,  test auc: 0.9986325888373617
epoch: 35,  train auc: 0.9998597410440878,   val auc: 0.9990962616982917,  test auc: 0.9985292166691905
epoch: 36,  train auc: 0.9999481352022205,   val auc: 0.999420325275208,  test auc: 0.9989015734300363
epoch: 37,  train auc: 0.9999622240010551,   val auc: 0.9992311857544078,  test auc: 0.9987484126522177
epoch: 38,  train auc: 0.9999944382671029,   val auc: 0.9996228872469345,  test auc: 0.9991922715348882
epoch: 39,  train auc: 0.9998172591075329,   val auc: 0.9989309309178677,  test auc: 0.9982738467364558
epoch: 40,  train auc: 0.9999276019319937,   val auc: 0.9990093342406161,  test auc: 0.9985067651441539
epoch: 41,  train auc: 0.9999713478188703,   val auc: 0.9994445721193217,  test auc: 0.9989810829897047
epoch: 42,  train auc: 0.9999974282175463,   val auc: 0.9996684098641849,  test auc: 0.9990147523486695
epoch: 43,  train auc: 0.9999702217382381,   val auc: 0.9992860203847718,  test auc: 0.9985270499755137
epoch: 44,  train auc: 0.9999973305794003,   val auc: 0.9994485909000768,  test auc: 0.9990909266725162
epoch: 45,  train auc: 0.999959871650373,   val auc: 0.9993148763354345,  test auc: 0.9987332720915204
epoch: 46,  train auc: 0.9999886120291452,   val auc: 0.9995301175652789,  test auc: 0.9990876548373206
epoch: 47,  train auc: 0.9999984612702781,   val auc: 0.9995901655569307,  test auc: 0.9991007204999102
epoch: 48,  train auc: 0.9999950425825159,   val auc: 0.9996521421058499,  test auc: 0.9992456082834796
epoch: 49,  train auc: 0.9999553503547047,   val auc: 0.9993752312852909,  test auc: 0.9990053208284048
epoch: 50,  train auc: 0.9999999528683239,   val auc: 0.999697646784356,  test auc: 0.9992916702660195
epoch: 51,  train auc: 1.0,   val auc: 0.9996799428362235,  test auc: 0.9993453784045947
epoch: 52,  train auc: 1.0,   val auc: 0.9997096411464442,  test auc: 0.9993268805682102
epoch: 53,  train auc: 1.0,   val auc: 0.9996994629495786,  test auc: 0.9993490630827778
epoch: 54,  train auc: 1.0,   val auc: 0.9996944902643355,  test auc: 0.9993173716694171
epoch: 55,  train auc: 1.0,   val auc: 0.9997032918962009,  test auc: 0.9993133574439427
epoch: 56,  train auc: 1.0,   val auc: 0.9997213725695475,  test auc: 0.9993105840453673
epoch: 57,  train auc: 1.0,   val auc: 0.9997293168468412,  test auc: 0.9993046501754675
epoch: 58,  train auc: 1.0,   val auc: 0.9997127898107858,  test auc: 0.9992740742285311
epoch: 59,  train auc: 1.0,   val auc: 0.9997582761814259,  test auc: 0.9992531416147195
epoch: 60,  train auc: 1.0,   val auc: 0.9997029176567577,  test auc: 0.9992165547192411
epoch: 61,  train auc: 1.0,   val auc: 0.999712860094225,  test auc: 0.9992971696017743
epoch: 62,  train auc: 1.0,   val auc: 0.9996942628260742,  test auc: 0.999304463948969
epoch: 63,  train auc: 1.0,   val auc: 0.9997246164306683,  test auc: 0.999258683724294
epoch: 64,  train auc: 1.0,   val auc: 0.9997226420626256,  test auc: 0.99916500610167
