epoch: 0,  train auc: 0.6608869111554396,   val auc: 0.64578111946533,  test auc: 0.62531328320802
epoch: 1,  train auc: 0.591615092152149,   val auc: 0.49707602339181284,  test auc: 0.5401002506265664
epoch: 2,  train auc: 0.6062094010536545,   val auc: 0.4828738512949039,  test auc: 0.5607769423558897
epoch: 3,  train auc: 0.6939798475781291,   val auc: 0.5630743525480368,  test auc: 0.6620718462823727
epoch: 4,  train auc: 0.7333128740217891,   val auc: 0.5889724310776943,  test auc: 0.6733500417710945
epoch: 5,  train auc: 0.7198267778289261,   val auc: 0.5923141186299081,  test auc: 0.6439014202172096
epoch: 6,  train auc: 0.7276183656419962,   val auc: 0.6131996658312449,  test auc: 0.6700083542188805
epoch: 7,  train auc: 0.7254189896509983,   val auc: 0.6549707602339182,  test auc: 0.6743943191311613
epoch: 8,  train auc: 0.729817741632994,   val auc: 0.6365914786967419,  test auc: 0.6927736006683375
epoch: 9,  train auc: 0.7424343170852301,   val auc: 0.670843776106934,  test auc: 0.6777360066833751
epoch: 10,  train auc: 0.7462533885734746,   val auc: 0.6399331662489557,  test auc: 0.6967418546365916
epoch: 11,  train auc: 0.7584266789422536,   val auc: 0.6374269005847953,  test auc: 0.6979949874686717
epoch: 12,  train auc: 0.7521013417898487,   val auc: 0.6574770258980785,  test auc: 0.7030075187969924
epoch: 13,  train auc: 0.752084292363562,   val auc: 0.6332497911445281,  test auc: 0.6804511278195491
epoch: 14,  train auc: 0.7550338431111793,   val auc: 0.658312447786132,  test auc: 0.7059314954051796
epoch: 15,  train auc: 0.7666445024124938,   val auc: 0.631578947368421,  test auc: 0.6927736006683376
epoch: 16,  train auc: 0.7600634238657868,   val auc: 0.6558061821219716,  test auc: 0.7040517961570594
epoch: 17,  train auc: 0.7721855659557055,   val auc: 0.6365914786967419,  test auc: 0.6996658312447787
epoch: 18,  train auc: 0.7716058854619543,   val auc: 0.634920634920635,  test auc: 0.6846282372598161
epoch: 19,  train auc: 0.7803351917207985,   val auc: 0.6457811194653299,  test auc: 0.709482038429407
epoch: 20,  train auc: 0.776976454742298,   val auc: 0.647451963241437,  test auc: 0.7090643274853802
epoch: 21,  train auc: 0.7654510425724174,   val auc: 0.6507936507936508,  test auc: 0.6764828738512949
epoch: 22,  train auc: 0.7828073585323854,   val auc: 0.6558061821219716,  test auc: 0.6840016708437762
epoch: 23,  train auc: 0.7912894481100711,   val auc: 0.6616541353383459,  test auc: 0.712406015037594
epoch: 24,  train auc: 0.7949806489011644,   val auc: 0.6549707602339181,  test auc: 0.7065580618212198
epoch: 25,  train auc: 0.7886894106013334,   val auc: 0.6658312447786132,  test auc: 0.679406850459482
epoch: 26,  train auc: 0.7918947027432527,   val auc: 0.6482873851294905,  test auc: 0.706140350877193
epoch: 27,  train auc: 0.8099670946072666,   val auc: 0.6507936507936507,  test auc: 0.7092731829573935
