epoch: 0,  train auc: 0.6773566569484937,   val auc: 0.6148705096073517,  test auc: 0.6795112781954887
epoch: 1,  train auc: 0.5289669752612824,   val auc: 0.4135338345864662,  test auc: 0.5037593984962406
epoch: 2,  train auc: 0.6965884098000101,   val auc: 0.6917293233082706,  test auc: 0.6775271512113619
epoch: 3,  train auc: 0.6551583039230731,   val auc: 0.6558061821219716,  test auc: 0.6393065998329156
epoch: 4,  train auc: 0.5907626208378088,   val auc: 0.6591478696741855,  test auc: 0.6000417710944027
epoch: 5,  train auc: 0.5802601742451367,   val auc: 0.6390977443609023,  test auc: 0.5948203842940686
epoch: 6,  train auc: 0.6200535351985406,   val auc: 0.6441102756892231,  test auc: 0.6138262322472848
epoch: 7,  train auc: 0.6741343153802875,   val auc: 0.6608187134502924,  test auc: 0.6555973266499583
epoch: 8,  train auc: 0.694678874055888,   val auc: 0.6449456975772766,  test auc: 0.6762740183792816
epoch: 9,  train auc: 0.6968271017680254,   val auc: 0.6549707602339181,  test auc: 0.6846282372598163
epoch: 10,  train auc: 0.6813632721258931,   val auc: 0.659983291562239,  test auc: 0.6929824561403509
epoch: 11,  train auc: 0.7016179905546178,   val auc: 0.6532999164578113,  test auc: 0.7213868003341687
epoch: 12,  train auc: 0.7001005916150921,   val auc: 0.6574770258980785,  test auc: 0.7130325814536341
epoch: 13,  train auc: 0.7180706869213849,   val auc: 0.6374269005847953,  test auc: 0.7347535505430243
epoch: 14,  train auc: 0.7167237822447274,   val auc: 0.656641604010025,  test auc: 0.7222222222222222
epoch: 15,  train auc: 0.7184628237259816,   val auc: 0.6516290726817042,  test auc: 0.7314118629908104
epoch: 16,  train auc: 0.7327161441017509,   val auc: 0.6516290726817042,  test auc: 0.7370509607351712
epoch: 17,  train auc: 0.7185310214311287,   val auc: 0.6532999164578112,  test auc: 0.7140768588137008
epoch: 18,  train auc: 0.7309771026204968,   val auc: 0.6666666666666666,  test auc: 0.7282790309106097
epoch: 19,  train auc: 0.7346086304195862,   val auc: 0.6507936507936508,  test auc: 0.7307852965747702
epoch: 20,  train auc: 0.745076978159685,   val auc: 0.6532999164578113,  test auc: 0.7439431913116124
epoch: 21,  train auc: 0.7476002932501321,   val auc: 0.6482873851294904,  test auc: 0.7401837928153718
epoch: 22,  train auc: 0.7524593797418717,   val auc: 0.6741854636591479,  test auc: 0.7403926482873852
epoch: 23,  train auc: 0.7396041123216204,   val auc: 0.6574770258980784,  test auc: 0.7188805346700082
epoch: 24,  train auc: 0.7476684909552794,   val auc: 0.6524644945697577,  test auc: 0.7449874686716791
epoch: 25,  train auc: 0.7699179922595605,   val auc: 0.681704260651629,  test auc: 0.7623224728487887
epoch: 26,  train auc: 0.765928426508448,   val auc: 0.6733500417710944,  test auc: 0.7550125313283208
epoch: 27,  train auc: 0.7687586312720576,   val auc: 0.6750208855472013,  test auc: 0.7692147034252298
epoch: 28,  train auc: 0.7825345677117965,   val auc: 0.6716791979949874,  test auc: 0.7696324143692566
epoch: 29,  train auc: 0.7939576833239561,   val auc: 0.6950710108604845,  test auc: 0.7654553049289892
epoch: 30,  train auc: 0.8062673691030297,   val auc: 0.6766917293233083,  test auc: 0.7608604845446951
epoch: 31,  train auc: 0.8075119772219665,   val auc: 0.6892230576441103,  test auc: 0.77109440267335
epoch: 32,  train auc: 0.8035224114708539,   val auc: 0.6800334168755222,  test auc: 0.7487468671679197
epoch: 33,  train auc: 0.8101716877227082,   val auc: 0.7042606516290727,  test auc: 0.7706766917293233
epoch: 34,  train auc: 0.7798066595059077,   val auc: 0.6741854636591479,  test auc: 0.7656641604010026
epoch: 35,  train auc: 0.8299660716416892,   val auc: 0.7426900584795322,  test auc: 0.786967418546366
epoch: 36,  train auc: 0.8134963258486352,   val auc: 0.6775271512113618,  test auc: 0.7464494569757727
