epoch: 0,  train auc: 0.6137394264075441,   val auc: 0.6137558601867282,  test auc: 0.6027106618736239
epoch: 1,  train auc: 0.6446487079919594,   val auc: 0.6403348063341783,  test auc: 0.6291436130717688
epoch: 2,  train auc: 0.6570606417947531,   val auc: 0.6525586451561651,  test auc: 0.6523307675696002
epoch: 3,  train auc: 0.6678651996547622,   val auc: 0.6634095210050314,  test auc: 0.6634610606151031
epoch: 4,  train auc: 0.691911569502409,   val auc: 0.6885043245729031,  test auc: 0.6829351514896179
epoch: 5,  train auc: 0.6950322016419156,   val auc: 0.6947977815001138,  test auc: 0.6866475799512447
epoch: 6,  train auc: 0.6993438466163663,   val auc: 0.6924513121793144,  test auc: 0.6911211139547555
epoch: 7,  train auc: 0.7129177800560386,   val auc: 0.7100602052059878,  test auc: 0.6991073972054772
epoch: 8,  train auc: 0.7171698934786926,   val auc: 0.7147490521802036,  test auc: 0.7062255079538408
epoch: 9,  train auc: 0.7187851027590193,   val auc: 0.7100087760080092,  test auc: 0.706399077349395
epoch: 10,  train auc: 0.7272996261889869,   val auc: 0.7247740934540988,  test auc: 0.7132878781077573
epoch: 11,  train auc: 0.7333798786591431,   val auc: 0.7283295174479277,  test auc: 0.718223826465386
epoch: 12,  train auc: 0.7350116407265456,   val auc: 0.7287689986333182,  test auc: 0.7196383784998632
epoch: 13,  train auc: 0.7419398303637189,   val auc: 0.7319039085211985,  test auc: 0.7216192482622034
epoch: 14,  train auc: 0.7423294804228302,   val auc: 0.7303058001793216,  test auc: 0.7237910283294248
epoch: 15,  train auc: 0.7453328422209531,   val auc: 0.7333859367630603,  test auc: 0.7233240301283785
epoch: 16,  train auc: 0.7525878560833495,   val auc: 0.7384772233483793,  test auc: 0.7300500565476853
epoch: 17,  train auc: 0.7568607314503156,   val auc: 0.7408685720522532,  test auc: 0.732000524494454
epoch: 18,  train auc: 0.7584557893728838,   val auc: 0.7404554566710303,  test auc: 0.733006377527192
epoch: 19,  train auc: 0.7579388083339315,   val auc: 0.7386736324054749,  test auc: 0.7317277189634778
epoch: 20,  train auc: 0.7656538245692209,   val auc: 0.743530523545053,  test auc: 0.7369038737556634
epoch: 21,  train auc: 0.7681306299364562,   val auc: 0.7424904391834417,  test auc: 0.73763493531956
epoch: 22,  train auc: 0.7716210420337832,   val auc: 0.7484475548689228,  test auc: 0.7411034826761497
epoch: 23,  train auc: 0.7741018553726152,   val auc: 0.747219928955931,  test auc: 0.7409042358283396
epoch: 24,  train auc: 0.774180182464887,   val auc: 0.7436441973767589,  test auc: 0.7399076860131755
epoch: 25,  train auc: 0.7774854709667746,   val auc: 0.7487812898662091,  test auc: 0.7433437577234857
epoch: 26,  train auc: 0.7789468384279612,   val auc: 0.750446587433704,  test auc: 0.7412164933615999
epoch: 27,  train auc: 0.7780235595388979,   val auc: 0.7453165018338376,  test auc: 0.7430596936852695
epoch: 28,  train auc: 0.7809552137165304,   val auc: 0.7479354240207442,  test auc: 0.7449964393199963
epoch: 29,  train auc: 0.7776109159924813,   val auc: 0.7471121643580897,  test auc: 0.738620146404599
epoch: 30,  train auc: 0.7852392181636964,   val auc: 0.7488487773746867,  test auc: 0.7474227019263971
epoch: 31,  train auc: 0.7854885137819876,   val auc: 0.7484386215644037,  test auc: 0.7481078669274188
epoch: 32,  train auc: 0.7861076172306334,   val auc: 0.7491213980145295,  test auc: 0.7440319817297951
epoch: 33,  train auc: 0.7905588016961106,   val auc: 0.7499349766443124,  test auc: 0.7470003372576933
epoch: 34,  train auc: 0.7907988884906489,   val auc: 0.7545311521237963,  test auc: 0.7453360872048789
epoch: 35,  train auc: 0.7948018648860469,   val auc: 0.7477357349932552,  test auc: 0.7506240484559468
