epoch: 0,  train auc: 0.6101074929713699,   val auc: 0.6129242585350111,  test auc: 0.5991373458372664
epoch: 1,  train auc: 0.6266279678468589,   val auc: 0.6231634398880042,  test auc: 0.6128694957189859
epoch: 2,  train auc: 0.6574764307715777,   val auc: 0.6569937034116275,  test auc: 0.6524419389453806
epoch: 3,  train auc: 0.6737472022739305,   val auc: 0.6712012911105957,  test auc: 0.6701453446014228
epoch: 4,  train auc: 0.6826629665418708,   val auc: 0.6811548405864795,  test auc: 0.6760204607453497
epoch: 5,  train auc: 0.6969547686254348,   val auc: 0.6933675085124807,  test auc: 0.6906381743595309
epoch: 6,  train auc: 0.7000277022635434,   val auc: 0.6986984262478305,  test auc: 0.6934104478469063
epoch: 7,  train auc: 0.7031603797525051,   val auc: 0.701640215591298,  test auc: 0.6944840950097012
epoch: 8,  train auc: 0.7151971060791036,   val auc: 0.7083496379908175,  test auc: 0.7046321072991824
epoch: 9,  train auc: 0.7196851901205414,   val auc: 0.7169369092984452,  test auc: 0.7068218593399967
epoch: 10,  train auc: 0.7278742454374404,   val auc: 0.716047711792705,  test auc: 0.7104450387506202
epoch: 11,  train auc: 0.7308172145426003,   val auc: 0.7233356412133716,  test auc: 0.7143741505471036
epoch: 12,  train auc: 0.7356780136300802,   val auc: 0.7230763135820625,  test auc: 0.7147852065019912
epoch: 13,  train auc: 0.7358578543082238,   val auc: 0.7242108652834498,  test auc: 0.7188456832531619
epoch: 14,  train auc: 0.7396071920742064,   val auc: 0.7289030267076883,  test auc: 0.7217452186805172
epoch: 15,  train auc: 0.7456427605307546,   val auc: 0.7333113659617034,  test auc: 0.7246534612074047
epoch: 16,  train auc: 0.7476885288126365,   val auc: 0.7300057570369355,  test auc: 0.7247242456762368
epoch: 17,  train auc: 0.7519233599169223,   val auc: 0.7265716547985949,  test auc: 0.7294832642364261
epoch: 18,  train auc: 0.7511401863811458,   val auc: 0.7381832398930224,  test auc: 0.7302467910503213
epoch: 19,  train auc: 0.7536621875349515,   val auc: 0.7371079753133813,  test auc: 0.7294124316258098
epoch: 20,  train auc: 0.7578216431922268,   val auc: 0.73384708879303,  test auc: 0.7328165725249368
