epoch: 0,  train auc: 0.8159455081500927,   val auc: 0.8316778613586658,  test auc: 0.8230009443081362
epoch: 1,  train auc: 0.8471501858160885,   val auc: 0.8689137781892379,  test auc: 0.8414826100558864
epoch: 2,  train auc: 0.8771527566939145,   val auc: 0.8841071054686653,  test auc: 0.8706426508248467
epoch: 3,  train auc: 0.8809814031801319,   val auc: 0.8831118603813125,  test auc: 0.8725977307573746
epoch: 4,  train auc: 0.88727371821209,   val auc: 0.8936057494572193,  test auc: 0.8860872735038144
epoch: 5,  train auc: 0.9048075128156691,   val auc: 0.8974619830140947,  test auc: 0.9024778939360606
epoch: 6,  train auc: 0.9079687756024589,   val auc: 0.912949942670316,  test auc: 0.9023193696914914
epoch: 7,  train auc: 0.9148549204621926,   val auc: 0.9098246964247829,  test auc: 0.908441070165828
epoch: 8,  train auc: 0.9208229956471788,   val auc: 0.9154066812300413,  test auc: 0.911788528963314
epoch: 9,  train auc: 0.9282951242586818,   val auc: 0.9301677518473888,  test auc: 0.9206505701182975
epoch: 10,  train auc: 0.9311188775444798,   val auc: 0.9279045367919958,  test auc: 0.9172900919422629
epoch: 11,  train auc: 0.9348840953350067,   val auc: 0.9276705569574195,  test auc: 0.9231120138569805
epoch: 12,  train auc: 0.9416619318255314,   val auc: 0.9331854692758219,  test auc: 0.9312871054130103
epoch: 13,  train auc: 0.9468091484483251,   val auc: 0.9283585376912332,  test auc: 0.9300510286123284
epoch: 14,  train auc: 0.9442467641781784,   val auc: 0.9311425261606289,  test auc: 0.929428857915822
epoch: 15,  train auc: 0.9505924715734462,   val auc: 0.9260355082581316,  test auc: 0.9307080522166444
epoch: 16,  train auc: 0.9530030290641026,   val auc: 0.9288085162493364,  test auc: 0.9342241088014422
epoch: 17,  train auc: 0.9538166591346553,   val auc: 0.9260404996708155,  test auc: 0.9328942901521697
epoch: 18,  train auc: 0.9587597419376536,   val auc: 0.9297943131865036,  test auc: 0.9276383152806008
epoch: 19,  train auc: 0.9578775567187214,   val auc: 0.9347738070624151,  test auc: 0.9321877844551993
epoch: 20,  train auc: 0.9581842652271076,   val auc: 0.9247772637475503,  test auc: 0.9271516712934297
epoch: 21,  train auc: 0.9622181369246209,   val auc: 0.9361808139065213,  test auc: 0.9298788511180854
epoch: 22,  train auc: 0.9730092389555549,   val auc: 0.9373158179609621,  test auc: 0.9360909440843853
epoch: 23,  train auc: 0.962871102366295,   val auc: 0.9256448552790701,  test auc: 0.9268778073325871
epoch: 24,  train auc: 0.9669833385596782,   val auc: 0.9269601199750165,  test auc: 0.9306349032474078
epoch: 25,  train auc: 0.9695665361987688,   val auc: 0.9256258131885094,  test auc: 0.9263776875589108
epoch: 26,  train auc: 0.9759247365594378,   val auc: 0.9374103683229136,  test auc: 0.9388082444102613
epoch: 27,  train auc: 0.9724842974300609,   val auc: 0.9292142386668303,  test auc: 0.9331315337344612
epoch: 28,  train auc: 0.9740941638703886,   val auc: 0.9271542419805089,  test auc: 0.9253971311507606
epoch: 29,  train auc: 0.9785697176647478,   val auc: 0.9330137105838723,  test auc: 0.9378212667822379
epoch: 30,  train auc: 0.9828031301680952,   val auc: 0.9343494782897974,  test auc: 0.934270397975466
epoch: 31,  train auc: 0.9727008609354361,   val auc: 0.9184614481518583,  test auc: 0.917034145094111
epoch: 32,  train auc: 0.9849836040762769,   val auc: 0.9290259064289665,  test auc: 0.9291937117425494
epoch: 33,  train auc: 0.9827101567422252,   val auc: 0.9341038556567931,  test auc: 0.9278976244166717
epoch: 34,  train auc: 0.9872975946096663,   val auc: 0.9334282051885187,  test auc: 0.9256375646241952
epoch: 35,  train auc: 0.9899702381039753,   val auc: 0.9396324124955914,  test auc: 0.9346655750552466
