epoch: 0,  train auc: 0.7802411787485749,   val auc: 0.7885764296634938,  test auc: 0.7876627272771376
epoch: 1,  train auc: 0.8512682196483687,   val auc: 0.8625200396225207,  test auc: 0.8487930029921038
epoch: 2,  train auc: 0.8672233477490695,   val auc: 0.8805505337162526,  test auc: 0.8573016474583438
epoch: 3,  train auc: 0.8830506064213967,   val auc: 0.8936604473311033,  test auc: 0.8790017575075628
epoch: 4,  train auc: 0.8981506475647691,   val auc: 0.9015381643501534,  test auc: 0.8935313564750897
epoch: 5,  train auc: 0.9011537447581702,   val auc: 0.9097128924180474,  test auc: 0.8988988841611886
epoch: 6,  train auc: 0.9158400384652244,   val auc: 0.9196276269909504,  test auc: 0.9103486495330497
epoch: 7,  train auc: 0.9142122686071161,   val auc: 0.9140900790827121,  test auc: 0.9121280852430866
epoch: 8,  train auc: 0.9193127610894197,   val auc: 0.9214028105284271,  test auc: 0.9118252857944807
epoch: 9,  train auc: 0.9348221258691591,   val auc: 0.9329585893165194,  test auc: 0.9264818080194707
epoch: 10,  train auc: 0.9350053999584952,   val auc: 0.9346040211158383,  test auc: 0.9286214320113599
epoch: 11,  train auc: 0.9391859869683096,   val auc: 0.9290100485304507,  test auc: 0.9298832656187238
epoch: 12,  train auc: 0.9444207221716169,   val auc: 0.9367082060480422,  test auc: 0.9288225384022394
epoch: 13,  train auc: 0.9429547243853883,   val auc: 0.934543285565865,  test auc: 0.9290525241549884
epoch: 14,  train auc: 0.9502025365096662,   val auc: 0.9363768829121035,  test auc: 0.9358167476620237
epoch: 15,  train auc: 0.949541622823542,   val auc: 0.9367830745908942,  test auc: 0.932738433983512
epoch: 16,  train auc: 0.9516443345681311,   val auc: 0.9385253663092111,  test auc: 0.9309189091795914
epoch: 17,  train auc: 0.9608793137790783,   val auc: 0.9402005842074898,  test auc: 0.9383900110986028
epoch: 18,  train auc: 0.9533535040376371,   val auc: 0.9331082067205243,  test auc: 0.9260737889487166
epoch: 19,  train auc: 0.9628647543979312,   val auc: 0.9365621053068189,  test auc: 0.9365023915881215
epoch: 20,  train auc: 0.9639989586288292,   val auc: 0.9363034299097742,  test auc: 0.9380819466792341
epoch: 21,  train auc: 0.9642031076937447,   val auc: 0.9377796528941149,  test auc: 0.935508414977925
epoch: 22,  train auc: 0.9702211932092235,   val auc: 0.9344047440439134,  test auc: 0.9339091105636064
epoch: 23,  train auc: 0.9720347423773028,   val auc: 0.94193909186125,  test auc: 0.9383081522311525
epoch: 24,  train auc: 0.9692995268331746,   val auc: 0.9432730477673509,  test auc: 0.9367200625167308
epoch: 25,  train auc: 0.9720390345087254,   val auc: 0.9274401526487152,  test auc: 0.9353637352144595
epoch: 26,  train auc: 0.969869364063339,   val auc: 0.9334519890051788,  test auc: 0.9317293027366008
epoch: 27,  train auc: 0.9791405054604042,   val auc: 0.93744875262421,  test auc: 0.9371021551976196
epoch: 28,  train auc: 0.9702377994385769,   val auc: 0.9207926844599309,  test auc: 0.9238177282708231
epoch: 29,  train auc: 0.9804518551369394,   val auc: 0.9397395399713402,  test auc: 0.9347143827360901
epoch: 30,  train auc: 0.9792530818111261,   val auc: 0.9290106251421414,  test auc: 0.9230459457939219
epoch: 31,  train auc: 0.9793774515415395,   val auc: 0.9237256495635783,  test auc: 0.9268997506717971
epoch: 32,  train auc: 0.9860710116263157,   val auc: 0.9347772010725267,  test auc: 0.9338936095337959
epoch: 33,  train auc: 0.9847665282202406,   val auc: 0.9274645117857391,  test auc: 0.9298599400604511
epoch: 34,  train auc: 0.9855350276549107,   val auc: 0.9147731058105765,  test auc: 0.9254787244341769
epoch: 35,  train auc: 0.9882296389740757,   val auc: 0.9311361682457332,  test auc: 0.933757644642579
epoch: 36,  train auc: 0.9822893611414996,   val auc: 0.9248131158306349,  test auc: 0.9275811214293844
epoch: 37,  train auc: 0.9879577990601297,   val auc: 0.9310044717767428,  test auc: 0.9361621575499219
epoch: 38,  train auc: 0.9899402834886961,   val auc: 0.9297979677632091,  test auc: 0.9324469664556486
epoch: 39,  train auc: 0.993039214191144,   val auc: 0.925668699760612,  test auc: 0.9337894903592245
epoch: 40,  train auc: 0.9946233073360868,   val auc: 0.9261212502482109,  test auc: 0.9296354500786478
epoch: 41,  train auc: 0.9920466552243502,   val auc: 0.9256998141111719,  test auc: 0.9303041416797732
epoch: 42,  train auc: 0.9919321971061147,   val auc: 0.9245970881756003,  test auc: 0.9300778986574155
epoch: 43,  train auc: 0.9946201049925782,   val auc: 0.9301088287576625,  test auc: 0.9335078250464871
