epoch: 0,  train auc: 0.9786644490491895,   val auc: 0.9957010021317143,  test auc: 0.9673338611172557
epoch: 1,  train auc: 0.9985137027357172,   val auc: 0.9991510348099745,  test auc: 0.990083197277047
epoch: 2,  train auc: 0.9997585632672217,   val auc: 0.999575404641078,  test auc: 0.994369452909766
epoch: 3,  train auc: 0.999399691550233,   val auc: 0.998951561355279,  test auc: 0.9929670057775315
epoch: 4,  train auc: 0.9998306536285582,   val auc: 0.9998114708455464,  test auc: 0.9944855786880946
epoch: 5,  train auc: 0.9999016680953813,   val auc: 0.9995980099296794,  test auc: 0.9941417815551362
epoch: 6,  train auc: 0.999976115936472,   val auc: 0.9997408707139609,  test auc: 0.9959453086093754
epoch: 7,  train auc: 0.9999253420806731,   val auc: 0.9996297145814325,  test auc: 0.9947634727729472
epoch: 8,  train auc: 0.9999754761093874,   val auc: 0.9996771388950934,  test auc: 0.9963602504005237
epoch: 9,  train auc: 0.9999875468817112,   val auc: 0.9997496145645368,  test auc: 0.995441465218736
epoch: 10,  train auc: 0.9999180507826939,   val auc: 0.9994710957847418,  test auc: 0.9956446247263302
epoch: 11,  train auc: 0.9999781568590046,   val auc: 0.9994893485845524,  test auc: 0.9951768050521058
epoch: 12,  train auc: 0.9999318694932758,   val auc: 0.9996576011964422,  test auc: 0.9944824565622767
epoch: 13,  train auc: 0.9999938844213893,   val auc: 0.9998081257166217,  test auc: 0.9960287296265584
epoch: 14,  train auc: 0.9999477822653556,   val auc: 0.999521743179148,  test auc: 0.993833819746855
epoch: 15,  train auc: 0.9999239221316517,   val auc: 0.9995931001093843,  test auc: 0.9953509543705003
epoch: 16,  train auc: 0.999998723010782,   val auc: 0.9998333293819491,  test auc: 0.9963519345803621
epoch: 17,  train auc: 0.9999905971910624,   val auc: 0.9998140439008183,  test auc: 0.9959645672556431
epoch: 18,  train auc: 0.9999956390432907,   val auc: 0.9997461490171535,  test auc: 0.9968092142231284
epoch: 19,  train auc: 0.9999997056103296,   val auc: 0.9998662334443061,  test auc: 0.9967178757530587
epoch: 20,  train auc: 0.9999876102927693,   val auc: 0.999693830997403,  test auc: 0.9959658591496673
epoch: 21,  train auc: 0.99999771225351,   val auc: 0.9998007150020143,  test auc: 0.9969835812148667
epoch: 22,  train auc: 0.9999960537793463,   val auc: 0.9997708941013247,  test auc: 0.9969151135251232
epoch: 23,  train auc: 0.9999891180318968,   val auc: 0.9997553402841554,  test auc: 0.996618789176123
epoch: 24,  train auc: 0.9999995504714271,   val auc: 0.9998512596267463,  test auc: 0.9973890432582793
