epoch: 0,  train auc: 0.994868915964598,   val auc: 0.9990428281217948,  test auc: 0.987717395076372
epoch: 1,  train auc: 0.9986564860874665,   val auc: 0.9989330285698991,  test auc: 0.9914858682793682
epoch: 2,  train auc: 0.9993737202967228,   val auc: 0.9993071199621449,  test auc: 0.9943389867940726
epoch: 3,  train auc: 0.9999081325889013,   val auc: 0.9996620442787438,  test auc: 0.9958042362955646
epoch: 4,  train auc: 0.9998798378923884,   val auc: 0.9996741618713546,  test auc: 0.9951714458697176
epoch: 5,  train auc: 0.9999131793145858,   val auc: 0.9997205794268289,  test auc: 0.996415324268451
epoch: 6,  train auc: 0.9999149670336187,   val auc: 0.9998424284047709,  test auc: 0.9958224820826932
epoch: 7,  train auc: 0.9999520338986627,   val auc: 0.9996295913726019,  test auc: 0.9963920738977946
epoch: 8,  train auc: 0.9999358026755779,   val auc: 0.9994549545866352,  test auc: 0.9960831475954087
epoch: 9,  train auc: 0.9999754464202472,   val auc: 0.9998509271153133,  test auc: 0.9968343626665178
epoch: 10,  train auc: 0.9999915105645467,   val auc: 0.999752479042007,  test auc: 0.9966149139276189
epoch: 11,  train auc: 0.9999724972419668,   val auc: 0.9997170127109984,  test auc: 0.9961183725028987
epoch: 12,  train auc: 0.9999605798750628,   val auc: 0.9996171978961119,  test auc: 0.9967724136980679
epoch: 13,  train auc: 0.9999619899330381,   val auc: 0.9997509075786286,  test auc: 0.9950030134656985
epoch: 14,  train auc: 0.9999954121142927,   val auc: 0.9998201713846306,  test auc: 0.9967629949926035
epoch: 15,  train auc: 0.9999953927018536,   val auc: 0.9998059262684378,  test auc: 0.9970506130421423
epoch: 16,  train auc: 0.9999793175408634,   val auc: 0.9995338443498312,  test auc: 0.9959189077697634
epoch: 17,  train auc: 0.999956600064365,   val auc: 0.999568990904178,  test auc: 0.9954999386173374
epoch: 18,  train auc: 0.9999971788341089,   val auc: 0.9998150149993813,  test auc: 0.9966948490121165
epoch: 19,  train auc: 0.9999967908644483,   val auc: 0.9998338081682168,  test auc: 0.9965430157976803
epoch: 20,  train auc: 0.9999722576711982,   val auc: 0.9997360692822599,  test auc: 0.9964470872160447
epoch: 21,  train auc: 0.9999978917659004,   val auc: 0.9998263336292894,  test auc: 0.9971932213371427
epoch: 22,  train auc: 0.9999799291999861,   val auc: 0.999738629286389,  test auc: 0.9957340391963487
epoch: 23,  train auc: 0.9999999221857082,   val auc: 0.9999430136507954,  test auc: 0.9975455733588323
epoch: 24,  train auc: 0.9995536963507629,   val auc: 0.9996863757205682,  test auc: 0.9933990324109885
epoch: 25,  train auc: 0.999990888880981,   val auc: 0.9998023848104481,  test auc: 0.9967108529794714
epoch: 26,  train auc: 0.999998718465224,   val auc: 0.9997153657002733,  test auc: 0.9974331361631857
epoch: 27,  train auc: 0.9999976263463638,   val auc: 0.9998951840850097,  test auc: 0.9972271836734229
epoch: 28,  train auc: 0.9999979894303365,   val auc: 0.9998872792317954,  test auc: 0.9975327244411077
epoch: 29,  train auc: 0.9999808379061587,   val auc: 0.9995633941218948,  test auc: 0.9965077343410688
epoch: 30,  train auc: 0.9999912832441155,   val auc: 0.9998197543864752,  test auc: 0.997065481876506
epoch: 31,  train auc: 0.9999901301890862,   val auc: 0.9998028239948525,  test auc: 0.9970130615317213
epoch: 32,  train auc: 0.9999993057473894,   val auc: 0.9999001259510774,  test auc: 0.9969915184258028
epoch: 33,  train auc: 0.9999795718861602,   val auc: 0.9997903312371315,  test auc: 0.9967658499871249
epoch: 34,  train auc: 0.999994530759028,   val auc: 0.9998711135580914,  test auc: 0.9968639526990283
epoch: 35,  train auc: 0.9999474427557957,   val auc: 0.9998706742239349,  test auc: 0.9965153616332206
epoch: 36,  train auc: 0.9999979024729857,   val auc: 0.9999234479902409,  test auc: 0.9967994872595248
