epoch: 0,  train auc: 0.9728976286411282,   val auc: 0.9815027623822684,  test auc: 0.9568270803410445
epoch: 1,  train auc: 0.9901804470811826,   val auc: 0.9934668589562285,  test auc: 0.9786523280319709
epoch: 2,  train auc: 0.9961639874046252,   val auc: 0.9967995826385164,  test auc: 0.9851506552697876
epoch: 3,  train auc: 0.9957460155857859,   val auc: 0.9977801705424231,  test auc: 0.982709452420229
epoch: 4,  train auc: 0.9982480661686508,   val auc: 0.9981432794487831,  test auc: 0.9868004672249501
epoch: 5,  train auc: 0.998963142952374,   val auc: 0.9985778443909364,  test auc: 0.9847022034675663
epoch: 6,  train auc: 0.9994361774115356,   val auc: 0.9989364860615546,  test auc: 0.990135287624232
epoch: 7,  train auc: 0.9997808873707807,   val auc: 0.9992621330267503,  test auc: 0.991930128208622
epoch: 8,  train auc: 0.9998938406375877,   val auc: 0.999086740771627,  test auc: 0.9914151622539868
epoch: 9,  train auc: 0.9998316309804834,   val auc: 0.9991733296926569,  test auc: 0.991188040260489
epoch: 10,  train auc: 0.9999319534897269,   val auc: 0.9993503983413669,  test auc: 0.9907806157478372
epoch: 11,  train auc: 0.9997202578947699,   val auc: 0.9983831218204631,  test auc: 0.9898032210616072
epoch: 12,  train auc: 0.9999530212088511,   val auc: 0.9990355460921282,  test auc: 0.9923548471724287
epoch: 13,  train auc: 0.9999867450881825,   val auc: 0.9994054132417354,  test auc: 0.9934384722041728
epoch: 14,  train auc: 0.9999729303851786,   val auc: 0.9992330804733378,  test auc: 0.9920429194624479
epoch: 15,  train auc: 0.9999769193657569,   val auc: 0.9990475086639605,  test auc: 0.9926146484365116
epoch: 16,  train auc: 0.9999325690279869,   val auc: 0.999142496495269,  test auc: 0.9914109672819411
epoch: 17,  train auc: 0.9999965259521143,   val auc: 0.9994515851650124,  test auc: 0.992588603252723
epoch: 18,  train auc: 0.9999769583691407,   val auc: 0.9994854375016927,  test auc: 0.9926847949213162
epoch: 19,  train auc: 0.9999306299953482,   val auc: 0.9996515280444105,  test auc: 0.9919258300799538
epoch: 20,  train auc: 0.9999971497947849,   val auc: 0.9992299054399154,  test auc: 0.9929651405429
epoch: 21,  train auc: 0.9999874677122066,   val auc: 0.9995247286959997,  test auc: 0.9929236209652227
epoch: 22,  train auc: 0.9999822790986417,   val auc: 0.9992987359104784,  test auc: 0.9923228277969875
epoch: 23,  train auc: 0.9998060785143342,   val auc: 0.9988089174175756,  test auc: 0.9893535514205317
epoch: 24,  train auc: 0.9999901430453477,   val auc: 0.999376001473815,  test auc: 0.9930367447339787
