epoch: 0,  train auc: 0.9787587232354508,   val auc: 0.9911472037057536,  test auc: 0.9639142027518974
epoch: 1,  train auc: 0.9934005128357157,   val auc: 0.9975900130597459,  test auc: 0.9827927210544398
epoch: 2,  train auc: 0.9964865443613263,   val auc: 0.9984894805187838,  test auc: 0.9861481781553785
epoch: 3,  train auc: 0.9981662412850759,   val auc: 0.9989964356228737,  test auc: 0.9885353659428738
epoch: 4,  train auc: 0.9983744514288347,   val auc: 0.9980884159202862,  test auc: 0.9887155134870356
epoch: 5,  train auc: 0.9995887677415254,   val auc: 0.999108207247628,  test auc: 0.9901528489043332
epoch: 6,  train auc: 0.9996234498228529,   val auc: 0.9992124473430836,  test auc: 0.9904111483278097
epoch: 7,  train auc: 0.9997723326613674,   val auc: 0.999049951956441,  test auc: 0.9906360155849399
epoch: 8,  train auc: 0.9997247209394721,   val auc: 0.9995112732548092,  test auc: 0.9905515967740997
epoch: 9,  train auc: 0.9996967535431107,   val auc: 0.9991231596846166,  test auc: 0.9898246866681906
epoch: 10,  train auc: 0.9997817405991344,   val auc: 0.9992422718992248,  test auc: 0.9899875149492232
epoch: 11,  train auc: 0.9998791707278517,   val auc: 0.9994087503506407,  test auc: 0.9911394181490447
epoch: 12,  train auc: 0.9999084091559339,   val auc: 0.998829402611615,  test auc: 0.991173273524668
epoch: 13,  train auc: 0.9999003889713173,   val auc: 0.9987791119748329,  test auc: 0.9892101420606841
epoch: 14,  train auc: 0.999993690351427,   val auc: 0.9995072146052714,  test auc: 0.9924324627398154
epoch: 15,  train auc: 0.999947815125254,   val auc: 0.9991090949206523,  test auc: 0.9922194903838986
epoch: 16,  train auc: 0.9999673451222989,   val auc: 0.9990770654809181,  test auc: 0.991246585967955
epoch: 17,  train auc: 0.9999125531805931,   val auc: 0.9995561510051106,  test auc: 0.9912806245444764
epoch: 18,  train auc: 0.9999541475762502,   val auc: 0.9988041112866539,  test auc: 0.9898314818771641
epoch: 19,  train auc: 0.9999957945000713,   val auc: 0.999531136617538,  test auc: 0.992433681622007
epoch: 20,  train auc: 0.9999868276282341,   val auc: 0.9991834841910265,  test auc: 0.9926549907949557
epoch: 21,  train auc: 0.9999548688989465,   val auc: 0.9990176130674334,  test auc: 0.9914818543756955
epoch: 22,  train auc: 0.9999928461006061,   val auc: 0.999059862928284,  test auc: 0.9930967945853643
epoch: 23,  train auc: 0.9998992246096933,   val auc: 0.9992953346843301,  test auc: 0.9905354556715712
epoch: 24,  train auc: 0.9998481913573799,   val auc: 0.9988127816708047,  test auc: 0.9905347961594227
epoch: 25,  train auc: 0.9999574743168039,   val auc: 0.9994230106383746,  test auc: 0.9916283984927093
epoch: 26,  train auc: 0.9999983264419039,   val auc: 0.9991241398600343,  test auc: 0.9928122763003351
epoch: 27,  train auc: 0.999961949060861,   val auc: 0.9989822420237279,  test auc: 0.9920557643094162
epoch: 28,  train auc: 0.9999982449134012,   val auc: 0.9992189079127957,  test auc: 0.9930111918533377
epoch: 29,  train auc: 0.99999736258902,   val auc: 0.9995336820774606,  test auc: 0.9940871364149779
epoch: 30,  train auc: 0.9998472419185852,   val auc: 0.9984722023392677,  test auc: 0.989866426466781
epoch: 31,  train auc: 0.9999514340583676,   val auc: 0.9989057819764035,  test auc: 0.9920338521862775
epoch: 32,  train auc: 0.999998309135722,   val auc: 0.9992835001022914,  test auc: 0.9934941939578974
epoch: 33,  train auc: 0.9999988820498275,   val auc: 0.9993510719217599,  test auc: 0.9928951024615071
epoch: 34,  train auc: 0.9999957393245236,   val auc: 0.9994250211959783,  test auc: 0.993246421929874
epoch: 35,  train auc: 0.9999064119801886,   val auc: 0.998997519131347,  test auc: 0.9896620418313915
epoch: 36,  train auc: 0.9999854782889301,   val auc: 0.999419572292391,  test auc: 0.9927684422613908
epoch: 37,  train auc: 0.9999992521229558,   val auc: 0.9994658413301885,  test auc: 0.9932755407560923
epoch: 38,  train auc: 0.9999996385633279,   val auc: 0.9996385647140907,  test auc: 0.9930833295630694
epoch: 39,  train auc: 0.9999976869779303,   val auc: 0.9994399157708539,  test auc: 0.9927817242121368
epoch: 40,  train auc: 0.9999644672055052,   val auc: 0.9995124681771098,  test auc: 0.9921223113754487
epoch: 41,  train auc: 0.9999929797848075,   val auc: 0.9991547640801263,  test auc: 0.9927234214543421
epoch: 42,  train auc: 0.9999460363336834,   val auc: 0.9993432966518173,  test auc: 0.9925012347816835
epoch: 43,  train auc: 0.9999997479351219,   val auc: 0.9994838144634937,  test auc: 0.9944201741824071
epoch: 44,  train auc: 0.9999945356619411,   val auc: 0.9994448887598992,  test auc: 0.9914015373766649
epoch: 45,  train auc: 0.9999942382826906,   val auc: 0.999467375016199,  test auc: 0.992585118215344
epoch: 46,  train auc: 0.9999994150406389,   val auc: 0.9993548084781195,  test auc: 0.9930731435403842
epoch: 47,  train auc: 0.9999979377983209,   val auc: 0.9994945465206097,  test auc: 0.992353816669858
epoch: 48,  train auc: 0.9999974789237928,   val auc: 0.9995915276314679,  test auc: 0.9925863252098494
epoch: 49,  train auc: 0.9999999129569336,   val auc: 0.9994736723621379,  test auc: 0.9934643954856796
epoch: 50,  train auc: 1.0,   val auc: 0.9995778108962562,  test auc: 0.9939162103782876
epoch: 51,  train auc: 1.0,   val auc: 0.9996137651846492,  test auc: 0.993983157502787
epoch: 52,  train auc: 1.0,   val auc: 0.9996552940820528,  test auc: 0.9940678330817737
epoch: 53,  train auc: 1.0,   val auc: 0.9996617864853313,  test auc: 0.994143391665432
epoch: 54,  train auc: 1.0,   val auc: 0.9996624637798832,  test auc: 0.9942651548161758
