epoch: 0,  train auc: 0.9577488659913649,   val auc: 0.9744191061005025,  test auc: 0.9452968586644325
epoch: 1,  train auc: 0.9783210456187938,   val auc: 0.9877142676244052,  test auc: 0.9642231615315456
epoch: 2,  train auc: 0.9826537336860949,   val auc: 0.9880316041857147,  test auc: 0.9664472424406291
epoch: 3,  train auc: 0.9880787438413612,   val auc: 0.9916364637722012,  test auc: 0.9705870837280408
epoch: 4,  train auc: 0.9906531462925056,   val auc: 0.9913790012790241,  test auc: 0.9700327270121293
epoch: 5,  train auc: 0.991008600621572,   val auc: 0.9912589437061917,  test auc: 0.9671109454772489
epoch: 6,  train auc: 0.9936294500797399,   val auc: 0.9906714729177094,  test auc: 0.9684606704383764
epoch: 7,  train auc: 0.9950331085334944,   val auc: 0.9927835495441584,  test auc: 0.9728358028198785
epoch: 8,  train auc: 0.994241792689353,   val auc: 0.9895308148723974,  test auc: 0.9652217756052001
epoch: 9,  train auc: 0.9965562687222606,   val auc: 0.9932874319011961,  test auc: 0.9720611588702877
epoch: 10,  train auc: 0.997010860371704,   val auc: 0.9935431514562201,  test auc: 0.9737153179028591
epoch: 11,  train auc: 0.9975487878029813,   val auc: 0.9930540849490463,  test auc: 0.9737853930170424
epoch: 12,  train auc: 0.997037418666684,   val auc: 0.9920508344031801,  test auc: 0.972594992287593
epoch: 13,  train auc: 0.9981174447944546,   val auc: 0.9931103888110812,  test auc: 0.9730833823988507
epoch: 14,  train auc: 0.997771006459046,   val auc: 0.9933514790350203,  test auc: 0.9724276923052364
epoch: 15,  train auc: 0.9983344640288397,   val auc: 0.9926094321497423,  test auc: 0.9714847317519083
epoch: 16,  train auc: 0.9980997123866299,   val auc: 0.9927609219668665,  test auc: 0.9734682806346666
epoch: 17,  train auc: 0.9980574286345072,   val auc: 0.9927315700653665,  test auc: 0.9737649880103857
epoch: 18,  train auc: 0.998976659754855,   val auc: 0.9929387143935968,  test auc: 0.9752841038102641
epoch: 19,  train auc: 0.9987699558936463,   val auc: 0.9922721241791392,  test auc: 0.9715504110847878
epoch: 20,  train auc: 0.999150809117538,   val auc: 0.9934752474113231,  test auc: 0.9733041539480282
epoch: 21,  train auc: 0.9992332524971238,   val auc: 0.9931707268144199,  test auc: 0.9724561788044928
epoch: 22,  train auc: 0.9990020960197004,   val auc: 0.9928386102071972,  test auc: 0.9674304909963396
epoch: 23,  train auc: 0.999148146707818,   val auc: 0.9909757950494508,  test auc: 0.9699286827445565
epoch: 24,  train auc: 0.9996560626978828,   val auc: 0.9929791298507576,  test auc: 0.9728670874461163
