epoch: 0,  train auc: 0.8669773035252715,   val auc: 0.8490526516233456,  test auc: 0.8452772298926146
epoch: 1,  train auc: 0.9030663533343581,   val auc: 0.9034180710273255,  test auc: 0.8503396888012273
epoch: 2,  train auc: 0.948980671973324,   val auc: 0.9421498619442064,  test auc: 0.885568704799474
epoch: 3,  train auc: 0.9649467338218778,   val auc: 0.9556126820908312,  test auc: 0.9039447731755424
epoch: 4,  train auc: 0.9667009766801926,   val auc: 0.9547176997048463,  test auc: 0.9101139601139601
epoch: 5,  train auc: 0.9791395746438468,   val auc: 0.9664857659716272,  test auc: 0.927175104098181
epoch: 6,  train auc: 0.9802271061994722,   val auc: 0.9670760735028088,  test auc: 0.9206278763971072
epoch: 7,  train auc: 0.9808207338728006,   val auc: 0.9705227077977719,  test auc: 0.9173241288625904
epoch: 8,  train auc: 0.9876620688419497,   val auc: 0.9745215652670666,  test auc: 0.9291968003506466
epoch: 9,  train auc: 0.9894552110513763,   val auc: 0.9810530324669142,  test auc: 0.9302761341222879
epoch: 10,  train auc: 0.9935243189313004,   val auc: 0.9839664857659717,  test auc: 0.9326539557308788
epoch: 11,  train auc: 0.9937831764314254,   val auc: 0.9809578215747883,  test auc: 0.9401928555774709
epoch: 12,  train auc: 0.9953679124203506,   val auc: 0.9901361515757402,  test auc: 0.9417707648476878
epoch: 13,  train auc: 0.9964719467309928,   val auc: 0.9868608968866038,  test auc: 0.936675432829279
epoch: 14,  train auc: 0.9969601925258551,   val auc: 0.9900599828620394,  test auc: 0.940538023230331
epoch: 15,  train auc: 0.9968279347320754,   val auc: 0.9884413976958963,  test auc: 0.9466907736138506
epoch: 16,  train auc: 0.9967645170020812,   val auc: 0.9850899742930591,  test auc: 0.9397326320403244
epoch: 17,  train auc: 0.9985241821941874,   val auc: 0.9888984099781014,  test auc: 0.9421652421652421
epoch: 18,  train auc: 0.9979423422030141,   val auc: 0.9881748071979434,  test auc: 0.9439896997589305
epoch: 19,  train auc: 0.9969934337895323,   val auc: 0.9926878034847186,  test auc: 0.9382095112864344
epoch: 20,  train auc: 0.9985595452406526,   val auc: 0.9870513186708558,  test auc: 0.9434472934472935
epoch: 21,  train auc: 0.9982997447259553,   val auc: 0.9903075311815671,  test auc: 0.9462469866316021
epoch: 22,  train auc: 0.9995537183536097,   val auc: 0.9876225840236124,  test auc: 0.9387628753013368
epoch: 23,  train auc: 0.9990037051042548,   val auc: 0.9893173379034562,  test auc: 0.9425542406311637
epoch: 24,  train auc: 0.9993554495397617,   val auc: 0.9884223555174712,  test auc: 0.9380561034407189
epoch: 25,  train auc: 0.9997265257740029,   val auc: 0.9902123202894411,  test auc: 0.942006355467894
epoch: 26,  train auc: 0.9993071200429261,   val auc: 0.9910311339617252,  test auc: 0.9420666228358536
epoch: 27,  train auc: 0.9997180386428511,   val auc: 0.9906883747500713,  test auc: 0.9480714442252903
epoch: 28,  train auc: 0.9998703354962943,   val auc: 0.9918499476340092,  test auc: 0.9526134122287969
epoch: 29,  train auc: 0.9996211438955367,   val auc: 0.9905741216795201,  test auc: 0.9492329607714223
epoch: 30,  train auc: 0.9999021622381131,   val auc: 0.9931448157669237,  test auc: 0.9547392066622835
epoch: 31,  train auc: 0.999985854781414,   val auc: 0.9905550795010949,  test auc: 0.9492658338812185
