epoch: 0,  train auc: 0.8800431240563961,   val auc: 0.8694468247167475,  test auc: 0.8248411133026516
epoch: 1,  train auc: 0.9335810082523206,   val auc: 0.9290678853660858,  test auc: 0.8906421214113522
epoch: 2,  train auc: 0.964025644338282,   val auc: 0.9610777872988671,  test auc: 0.9074183651106729
epoch: 3,  train auc: 0.9687449607658787,   val auc: 0.9682947729220223,  test auc: 0.9134341442033751
epoch: 4,  train auc: 0.97332093897847,   val auc: 0.9619537275064268,  test auc: 0.9184198991891299
epoch: 5,  train auc: 0.9855612681282763,   val auc: 0.9844044558697516,  test auc: 0.9285996055226825
epoch: 6,  train auc: 0.9851246523812534,   val auc: 0.9825764067409312,  test auc: 0.9349222003068157
epoch: 7,  train auc: 0.9913424189644002,   val auc: 0.9911453870322764,  test auc: 0.946789392943239
epoch: 8,  train auc: 0.9928307317132974,   val auc: 0.991640483671332,  test auc: 0.9472989261450799
epoch: 9,  train auc: 0.9938510734806385,   val auc: 0.9880224697705418,  test auc: 0.9486960333114178
epoch: 10,  train auc: 0.996122559831917,   val auc: 0.9946301056840903,  test auc: 0.9531229454306378
epoch: 11,  train auc: 0.997517278384503,   val auc: 0.9939065029039322,  test auc: 0.9533749726057418
epoch: 12,  train auc: 0.9978801032412354,   val auc: 0.9928210987336951,  test auc: 0.9545364891518738
epoch: 13,  train auc: 0.9976853707320339,   val auc: 0.9916404836713321,  test auc: 0.9467291255752794
epoch: 14,  train auc: 0.996756972885502,   val auc: 0.9880795963058173,  test auc: 0.9411680911680912
epoch: 15,  train auc: 0.9986863807006411,   val auc: 0.9925164238788917,  test auc: 0.9543173350865658
epoch: 16,  train auc: 0.9988938439065699,   val auc: 0.9936399124059792,  test auc: 0.9491343414420337
epoch: 17,  train auc: 0.9961720680969683,   val auc: 0.9872036560982577,  test auc: 0.9567444663598509
epoch: 18,  train auc: 0.9987408397921972,   val auc: 0.9945539369703894,  test auc: 0.9510300241069471
epoch: 19,  train auc: 0.9991418567391123,   val auc: 0.9909549652480244,  test auc: 0.960278325662941
epoch: 20,  train auc: 0.9996579214638603,   val auc: 0.9929353518042464,  test auc: 0.9598564540872234
epoch: 21,  train auc: 0.9997277045422184,   val auc: 0.993620870227554,  test auc: 0.9455402147709839
epoch: 22,  train auc: 0.9993210295078689,   val auc: 0.9939826716176331,  test auc: 0.9537749287749286
epoch: 23,  train auc: 0.9998609053505705,   val auc: 0.9943825573645626,  test auc: 0.9479837825991673
epoch: 24,  train auc: 0.9992073962518943,   val auc: 0.9907645434637723,  test auc: 0.9469263642340566
epoch: 25,  train auc: 0.9998099825636606,   val auc: 0.991545272779206,  test auc: 0.9386094674556213
epoch: 26,  train auc: 0.9998411020445499,   val auc: 0.9904217842521185,  test auc: 0.95422419460881
epoch: 27,  train auc: 0.9999250303414939,   val auc: 0.9936399124059793,  test auc: 0.9575553364014903
epoch: 28,  train auc: 0.9999141856739111,   val auc: 0.9934304484433019,  test auc: 0.9544214332675871
epoch: 29,  train auc: 0.9999688805191107,   val auc: 0.9939065029039322,  test auc: 0.9561253561253561
epoch: 30,  train auc: 0.999423582342618,   val auc: 0.9934304484433019,  test auc: 0.9571992110453649
epoch: 31,  train auc: 0.9995361547071987,   val auc: 0.9933161953727506,  test auc: 0.9472715318869165
epoch: 32,  train auc: 0.9995402803959529,   val auc: 0.9937732076549557,  test auc: 0.9528983125136972
epoch: 33,  train auc: 0.9999495487203764,   val auc: 0.992097495953537,  test auc: 0.9512217839140916
epoch: 34,  train auc: 0.9999672302436089,   val auc: 0.9953917928210987,  test auc: 0.9576539557308789
epoch: 35,  train auc: 0.9997069582216254,   val auc: 0.991640483671332,  test auc: 0.9539502520271752
epoch: 36,  train auc: 0.9999389398064368,   val auc: 0.9917928210987338,  test auc: 0.9475016436554897
epoch: 37,  train auc: 0.9998665634380048,   val auc: 0.9926497191278681,  test auc: 0.9583442910365988
epoch: 38,  train auc: 0.9998422808127654,   val auc: 0.9892792535466057,  test auc: 0.9443074731536271
epoch: 39,  train auc: 0.9999507274885919,   val auc: 0.9916976102066077,  test auc: 0.9466852947622177
epoch: 40,  train auc: 0.9992851949541176,   val auc: 0.9933733219080263,  test auc: 0.9348016655708964
epoch: 41,  train auc: 0.9999981139708553,   val auc: 0.9932781110159004,  test auc: 0.9628424282270436
epoch: 42,  train auc: 0.9999999999999999,   val auc: 0.9952013710368466,  test auc: 0.9601084812623275
epoch: 43,  train auc: 0.9999900983469898,   val auc: 0.9929353518042464,  test auc: 0.954876177953101
epoch: 44,  train auc: 0.9999420046037972,   val auc: 0.9902408835570788,  test auc: 0.9429925487617795
epoch: 45,  train auc: 0.9998823589320927,   val auc: 0.9914119775302295,  test auc: 0.9370151216305063
epoch: 46,  train auc: 0.9999995284927138,   val auc: 0.9925354660573169,  test auc: 0.9564979180363795
epoch: 47,  train auc: 1.0,   val auc: 0.9930876892316481,  test auc: 0.9503232522463292
epoch: 48,  train auc: 1.0,   val auc: 0.9936018280491288,  test auc: 0.953117466579005
epoch: 49,  train auc: 0.9999483699521607,   val auc: 0.9954298771779492,  test auc: 0.9515998246767478
epoch: 50,  train auc: 1.0,   val auc: 0.9952965819289725,  test auc: 0.9549419241726934
epoch: 51,  train auc: 1.0,   val auc: 0.9951823288584213,  test auc: 0.95540214770984
epoch: 52,  train auc: 1.0,   val auc: 0.9952584975721221,  test auc: 0.957034845496384
epoch: 53,  train auc: 1.0,   val auc: 0.9952584975721221,  test auc: 0.9548926145079992
epoch: 54,  train auc: 1.0,   val auc: 0.9952013710368466,  test auc: 0.9557473153627001
epoch: 55,  train auc: 1.0,   val auc: 0.995049033609445,  test auc: 0.9513587552049091
epoch: 56,  train auc: 1.0,   val auc: 0.9951061601447206,  test auc: 0.9534242822704362
epoch: 57,  train auc: 1.0,   val auc: 0.994877654003618,  test auc: 0.951649134341442
epoch: 58,  train auc: 1.0,   val auc: 0.9948586118251928,  test auc: 0.951994301994302
epoch: 59,  train auc: 1.0,   val auc: 0.9948966961820431,  test auc: 0.9527887354810431
epoch: 60,  train auc: 1.0,   val auc: 0.9950109492525945,  test auc: 0.9537858864781942
epoch: 61,  train auc: 1.0,   val auc: 0.9946491478625153,  test auc: 0.9526955950032874
epoch: 62,  train auc: 1.0,   val auc: 0.9945539369703895,  test auc: 0.9509587990357221
epoch: 63,  train auc: 1.0,   val auc: 0.9946301056840903,  test auc: 0.9488110891957046
epoch: 64,  train auc: 1.0,   val auc: 0.9944587260782634,  test auc: 0.9472277010738549
epoch: 65,  train auc: 1.0,   val auc: 0.9946110635056649,  test auc: 0.9476002629848783
epoch: 66,  train auc: 1.0,   val auc: 0.9947443587546415,  test auc: 0.9472879684418146
epoch: 67,  train auc: 1.0,   val auc: 0.9947253165762163,  test auc: 0.946789392943239
epoch: 68,  train auc: 1.0,   val auc: 0.9943063886508616,  test auc: 0.9457100591715977
epoch: 69,  train auc: 1.0,   val auc: 0.9945539369703894,  test auc: 0.9498137190444882
epoch: 70,  train auc: 1.0,   val auc: 0.9943063886508617,  test auc: 0.9501040981810214
epoch: 71,  train auc: 1.0,   val auc: 0.9942302199371608,  test auc: 0.9465592811746658
epoch: 72,  train auc: 1.0,   val auc: 0.9943063886508617,  test auc: 0.9470742932281393
epoch: 73,  train auc: 1.0,   val auc: 0.9944206417214128,  test auc: 0.947753670830594
epoch: 74,  train auc: 1.0,   val auc: 0.994077882509759,  test auc: 0.9484001753232523
epoch: 75,  train auc: 1.0,   val auc: 0.9940969246881842,  test auc: 0.9472934472934473
epoch: 76,  train auc: 0.9999999999999999,   val auc: 0.9941159668666095,  test auc: 0.945901818978742
epoch: 77,  train auc: 1.0,   val auc: 0.9941350090450347,  test auc: 0.9461648038571115
epoch: 78,  train auc: 1.0,   val auc: 0.9941540512234599,  test auc: 0.946318211702827
epoch: 79,  train auc: 1.0,   val auc: 0.9942111777587356,  test auc: 0.9461976769669078
epoch: 80,  train auc: 1.0,   val auc: 0.9941921355803103,  test auc: 0.946066184527723
epoch: 81,  train auc: 1.0,   val auc: 0.9941540512234599,  test auc: 0.9461812404120097
epoch: 82,  train auc: 1.0,   val auc: 0.9942492621155861,  test auc: 0.9463949156256849
epoch: 83,  train auc: 1.0,   val auc: 0.9942111777587356,  test auc: 0.9465428446197677
epoch: 84,  train auc: 1.0,   val auc: 0.9942302199371608,  test auc: 0.946482577251808
epoch: 85,  train auc: 1.0,   val auc: 0.9942873464724364,  test auc: 0.9463675213675213
epoch: 86,  train auc: 1.0,   val auc: 0.9941730934018852,  test auc: 0.9470523778216087
epoch: 87,  train auc: 1.0,   val auc: 0.9940969246881843,  test auc: 0.9466031119877274
epoch: 88,  train auc: 1.0,   val auc: 0.994058840331334,  test auc: 0.946992110453649
epoch: 89,  train auc: 1.0,   val auc: 0.9941350090450347,  test auc: 0.9469647161954855
epoch: 90,  train auc: 1.0,   val auc: 0.9940969246881843,  test auc: 0.9471893491124259
epoch: 91,  train auc: 1.0,   val auc: 0.9941159668666095,  test auc: 0.9475235590620207
epoch: 92,  train auc: 1.0,   val auc: 0.994249262115586,  test auc: 0.9472660530352839
epoch: 93,  train auc: 1.0,   val auc: 0.9943063886508617,  test auc: 0.947282489590182
epoch: 94,  train auc: 1.0,   val auc: 0.9943825573645625,  test auc: 0.9476714880561035
epoch: 95,  train auc: 1.0,   val auc: 0.9943825573645624,  test auc: 0.9476769669077362
epoch: 96,  train auc: 1.0,   val auc: 0.9944015995429877,  test auc: 0.9474304185842648
epoch: 97,  train auc: 1.0,   val auc: 0.9944206417214129,  test auc: 0.947934472934473
epoch: 98,  train auc: 1.0,   val auc: 0.9943825573645624,  test auc: 0.947950909489371
epoch: 99,  train auc: 1.0,   val auc: 0.9943635151861373,  test auc: 0.9482851194389657
pneumoniamnist
train  auc: 0.99995  acc: 0.99342
val  auc: 0.99543  acc: 0.96756
test  auc: 0.95160  acc: 0.83173
