epoch: 0,  train auc: 0.6597749167416193,   val auc: 0.6712936385760184,  test auc: 0.6788356720675515
epoch: 1,  train auc: 0.6894537426863956,   val auc: 0.7097958120304421,  test auc: 0.6935015846301091
epoch: 2,  train auc: 0.7264320392597429,   val auc: 0.7396564816007227,  test auc: 0.6905149157582817
epoch: 3,  train auc: 0.7406385551527397,   val auc: 0.8044462358868918,  test auc: 0.7222450351401498
epoch: 4,  train auc: 0.735005310264057,   val auc: 0.7587984709614763,  test auc: 0.7193500880625281
epoch: 5,  train auc: 0.7373439056242601,   val auc: 0.7779793924497966,  test auc: 0.7132913593706702
epoch: 6,  train auc: 0.7388830512486408,   val auc: 0.7782992758209387,  test auc: 0.7257616234034183
epoch: 7,  train auc: 0.7433005740229546,   val auc: 0.7757699465322654,  test auc: 0.7179752358087542
epoch: 8,  train auc: 0.7274882533657225,   val auc: 0.7565466316207734,  test auc: 0.7267015145593317
epoch: 9,  train auc: 0.7379067871758425,   val auc: 0.7693683442246371,  test auc: 0.7142015788449041
epoch: 10,  train auc: 0.7366770944011641,   val auc: 0.782671522350012,  test auc: 0.7342773274001809
epoch: 11,  train auc: 0.7456573189516972,   val auc: 0.7694926096532504,  test auc: 0.722443731854967
epoch: 12,  train auc: 0.7456130840606638,   val auc: 0.7894460482563457,  test auc: 0.7335462501104454
epoch: 13,  train auc: 0.7466733663833615,   val auc: 0.7788320347054138,  test auc: 0.7325767702388681
epoch: 14,  train auc: 0.7495198187047563,   val auc: 0.7807151162197691,  test auc: 0.7412857005974682
epoch: 15,  train auc: 0.746565865205127,   val auc: 0.7734405584301848,  test auc: 0.7327984948065981
epoch: 16,  train auc: 0.7552720890243304,   val auc: 0.7769456384703524,  test auc: 0.7350065837574465
epoch: 17,  train auc: 0.7570422973773999,   val auc: 0.790677795682296,  test auc: 0.7435989565171038
epoch: 18,  train auc: 0.7610841620859905,   val auc: 0.7992653531427749,  test auc: 0.738328641609303
epoch: 19,  train auc: 0.7571956139919157,   val auc: 0.7908830721952003,  test auc: 0.7386698114938002
epoch: 20,  train auc: 0.7571474183670366,   val auc: 0.8042272977862603,  test auc: 0.733565196594569
epoch: 21,  train auc: 0.7581895055613641,   val auc: 0.776266635040243,  test auc: 0.7310950388966991
epoch: 22,  train auc: 0.7647135329559873,   val auc: 0.7924574168549761,  test auc: 0.7262563027086788
epoch: 23,  train auc: 0.7589644099328616,   val auc: 0.8043566888235081,  test auc: 0.7380395367227306
epoch: 24,  train auc: 0.7592223219910538,   val auc: 0.8006470265841739,  test auc: 0.7320639384801432
epoch: 25,  train auc: 0.7665628315208441,   val auc: 0.7915885830444946,  test auc: 0.721319235683141
epoch: 26,  train auc: 0.7716714610585395,   val auc: 0.8248933512598653,  test auc: 0.7219652246536408
epoch: 27,  train auc: 0.7701623503439224,   val auc: 0.8028548758075837,  test auc: 0.720905369909299
epoch: 28,  train auc: 0.7725455010419461,   val auc: 0.800550296727032,  test auc: 0.7229695434607407
epoch: 29,  train auc: 0.7658656837692709,   val auc: 0.7989309936383926,  test auc: 0.7228627703645849
epoch: 30,  train auc: 0.7711831699656807,   val auc: 0.8005407343567527,  test auc: 0.7286176794392267
epoch: 31,  train auc: 0.7728810154393043,   val auc: 0.7995347867179294,  test auc: 0.7245759688931475
