epoch: 0,  train auc: 0.6596757464746019,   val auc: 0.6597698287220026,  test auc: 0.6891258925487612
epoch: 1,  train auc: 0.6774507068403396,   val auc: 0.6764055599399612,  test auc: 0.6740320405712078
epoch: 2,  train auc: 0.7031552862438163,   val auc: 0.7003143537367793,  test auc: 0.6964435987053733
epoch: 3,  train auc: 0.7131382952520069,   val auc: 0.7547420682433649,  test auc: 0.7026693448684449
epoch: 4,  train auc: 0.729774031767867,   val auc: 0.7391516074625152,  test auc: 0.7169962290484463
epoch: 5,  train auc: 0.7404121872015523,   val auc: 0.7890261775798006,  test auc: 0.7023383261906242
epoch: 6,  train auc: 0.7387469113507136,   val auc: 0.7657978285268141,  test auc: 0.7069973328200515
epoch: 7,  train auc: 0.747402692787692,   val auc: 0.7950889809063721,  test auc: 0.7187923098399189
epoch: 8,  train auc: 0.7421828829267685,   val auc: 0.7880038990757525,  test auc: 0.7170492769758798
epoch: 9,  train auc: 0.7385618153096262,   val auc: 0.768880983933997,  test auc: 0.7189910098384203
epoch: 10,  train auc: 0.7485497616779909,   val auc: 0.779764186193782,  test auc: 0.71452789588384
epoch: 11,  train auc: 0.7290274143861154,   val auc: 0.7310436995357665,  test auc: 0.7218142579998976
epoch: 12,  train auc: 0.7475764835565905,   val auc: 0.7688781283467783,  test auc: 0.7182601225354732
epoch: 13,  train auc: 0.7346892218533727,   val auc: 0.7604249288497191,  test auc: 0.7155705843542686
epoch: 14,  train auc: 0.740269842256168,   val auc: 0.758731566472909,  test auc: 0.7149021270702391
epoch: 15,  train auc: 0.7452620986980472,   val auc: 0.7528334373116219,  test auc: 0.7131986508365624
epoch: 16,  train auc: 0.7502964057331061,   val auc: 0.7586455224945692,  test auc: 0.7148052737693436
epoch: 17,  train auc: 0.7494027063767866,   val auc: 0.7571448569087776,  test auc: 0.7178684450124444
epoch: 18,  train auc: 0.7496977540019968,   val auc: 0.7826805119224646,  test auc: 0.716797724081006
epoch: 19,  train auc: 0.7527569983034647,   val auc: 0.7843679618824546,  test auc: 0.7193782367856054
epoch: 20,  train auc: 0.7575395089907933,   val auc: 0.7885481867822829,  test auc: 0.724355010457292
epoch: 21,  train auc: 0.7584213752074067,   val auc: 0.7908668688996683,  test auc: 0.7248640787802306
epoch: 22,  train auc: 0.754289518065947,   val auc: 0.794154822240787,  test auc: 0.7213008982744684
epoch: 23,  train auc: 0.7637954924132215,   val auc: 0.810244948302538,  test auc: 0.7225496680922403
epoch: 24,  train auc: 0.7637401842546165,   val auc: 0.8104393649913101,  test auc: 0.7296826595519121
epoch: 25,  train auc: 0.7597124542506661,   val auc: 0.8084964907877952,  test auc: 0.7288800900188083
epoch: 26,  train auc: 0.7497110285855723,   val auc: 0.8026620229390634,  test auc: 0.7302136001501743
epoch: 27,  train auc: 0.7637820178551683,   val auc: 0.8271478029358275,  test auc: 0.7393055688810312
epoch: 28,  train auc: 0.7725609387287271,   val auc: 0.8201501649380368,  test auc: 0.7372973307412651
epoch: 29,  train auc: 0.769715252322223,   val auc: 0.8217408378947664,  test auc: 0.7385583063566827
epoch: 30,  train auc: 0.7742506240395916,   val auc: 0.8229617404292462,  test auc: 0.7440213109846668
epoch: 31,  train auc: 0.7722954358183707,   val auc: 0.8232803268234999,  test auc: 0.7521728579681317
epoch: 32,  train auc: 0.7752100477309954,   val auc: 0.8313170580895219,  test auc: 0.7389146495462514
epoch: 33,  train auc: 0.7778545243198164,   val auc: 0.8158015066945655,  test auc: 0.7405720689481914
epoch: 34,  train auc: 0.7793639448914174,   val auc: 0.8210741311630709,  test auc: 0.7372298463158843
epoch: 35,  train auc: 0.7825382302005383,   val auc: 0.8218054810573501,  test auc: 0.7559937383676336
epoch: 36,  train auc: 0.7777442794864493,   val auc: 0.8123649653338442,  test auc: 0.73747608780599
epoch: 37,  train auc: 0.7768623253274625,   val auc: 0.8156371769344309,  test auc: 0.744341246077639
epoch: 38,  train auc: 0.78636192045311,   val auc: 0.8232857350520204,  test auc: 0.74872467889524
epoch: 39,  train auc: 0.7894437481604692,   val auc: 0.8389640424072917,  test auc: 0.7507848839659663
epoch: 40,  train auc: 0.7826868109170764,   val auc: 0.8180849210568508,  test auc: 0.739642187660835
epoch: 41,  train auc: 0.7899710431298179,   val auc: 0.835248294979874,  test auc: 0.7568376808093416
epoch: 42,  train auc: 0.7842336204367539,   val auc: 0.8243765911631662,  test auc: 0.7413466249716313
epoch: 43,  train auc: 0.7855170498564993,   val auc: 0.8160612947608371,  test auc: 0.7495223130553862
epoch: 44,  train auc: 0.7922067912438223,   val auc: 0.8285392279923934,  test auc: 0.7524777605200456
epoch: 45,  train auc: 0.7888693061602174,   val auc: 0.8209799634865235,  test auc: 0.7576695882442964
epoch: 46,  train auc: 0.7972377227616094,   val auc: 0.8387530574716692,  test auc: 0.742878052190567
epoch: 47,  train auc: 0.8015504173836202,   val auc: 0.8280724600257781,  test auc: 0.7454811000335381
epoch: 48,  train auc: 0.8142039093380455,   val auc: 0.8371696835413083,  test auc: 0.7478425277906512
epoch: 49,  train auc: 0.8127170595673023,   val auc: 0.8264096921046578,  test auc: 0.7580190838123302
epoch: 50,  train auc: 0.8201484323187703,   val auc: 0.8308283126569169,  test auc: 0.7472088391926779
epoch: 51,  train auc: 0.8244151936243064,   val auc: 0.8320211305235714,  test auc: 0.7511006534745189
epoch: 52,  train auc: 0.8262064502332308,   val auc: 0.8287132005463814,  test auc: 0.7468045992204976
epoch: 53,  train auc: 0.8275499012463461,   val auc: 0.8315476284768429,  test auc: 0.7500080501206143
epoch: 54,  train auc: 0.8290884949328247,   val auc: 0.8341989034216342,  test auc: 0.7495550430479283
epoch: 55,  train auc: 0.8314643129332391,   val auc: 0.8301351668220471,  test auc: 0.7494327922392208
epoch: 56,  train auc: 0.8333938825093241,   val auc: 0.8313796165864815,  test auc: 0.7493950130440776
epoch: 57,  train auc: 0.8350422332197052,   val auc: 0.8318125084707082,  test auc: 0.748637029148604
epoch: 58,  train auc: 0.8368233256119748,   val auc: 0.8295580012100225,  test auc: 0.7505244340968751
epoch: 59,  train auc: 0.8372886109922799,   val auc: 0.8334562960614831,  test auc: 0.749856694575833
epoch: 60,  train auc: 0.8384622043234039,   val auc: 0.8286285769320095,  test auc: 0.7499501201612153
epoch: 61,  train auc: 0.8412071283371141,   val auc: 0.8277206871299168,  test auc: 0.7471068720287634
epoch: 62,  train auc: 0.8423495390905836,   val auc: 0.8284857309427865,  test auc: 0.749064174095291
epoch: 63,  train auc: 0.8423958285505879,   val auc: 0.8253494340447812,  test auc: 0.7517921493507613
epoch: 64,  train auc: 0.8462618903886308,   val auc: 0.8249421685893845,  test auc: 0.747961317205036
epoch: 65,  train auc: 0.8461527106576071,   val auc: 0.82965909144109,  test auc: 0.7475767165227035
epoch: 66,  train auc: 0.8502440137613204,   val auc: 0.8271446558498428,  test auc: 0.747898448699426
epoch: 67,  train auc: 0.8503793998690128,   val auc: 0.8314484011228481,  test auc: 0.7502313273162848
epoch: 68,  train auc: 0.8547266130333394,   val auc: 0.8293537684424793,  test auc: 0.7483953337846035
epoch: 69,  train auc: 0.8556096527901751,   val auc: 0.8304499511111259,  test auc: 0.7492886062149221
epoch: 70,  train auc: 0.8577755205800335,   val auc: 0.8241158526164629,  test auc: 0.7459591116704484
epoch: 71,  train auc: 0.8572734244064211,   val auc: 0.8267298044555099,  test auc: 0.7522405352631739
epoch: 72,  train auc: 0.8612990180589086,   val auc: 0.8275478966777212,  test auc: 0.7496232833243344
epoch: 73,  train auc: 0.863060757349343,   val auc: 0.8202245116891188,  test auc: 0.7420003193566
epoch: 74,  train auc: 0.8677067330378232,   val auc: 0.8244935734886918,  test auc: 0.7458165865172409
epoch: 75,  train auc: 0.8686391477533301,   val auc: 0.824393155667679,  test auc: 0.7461556569105057
epoch: 76,  train auc: 0.8692587065376536,   val auc: 0.8280766459407193,  test auc: 0.7462842053675525
epoch: 77,  train auc: 0.8695484639743951,   val auc: 0.8276544737264036,  test auc: 0.7460788125668485
epoch: 78,  train auc: 0.8698654921497353,   val auc: 0.8265941437182475,  test auc: 0.7462621349815413
epoch: 79,  train auc: 0.8703964560963016,   val auc: 0.8256164212683663,  test auc: 0.7459755826801089
epoch: 80,  train auc: 0.8706998314218868,   val auc: 0.825222687446181,  test auc: 0.7462571040876392
epoch: 81,  train auc: 0.8710373567836941,   val auc: 0.8248526082810599,  test auc: 0.7457109071842816
epoch: 82,  train auc: 0.8714999074884371,   val auc: 0.8241267924238939,  test auc: 0.7460386952299186
epoch: 83,  train auc: 0.8719579178470503,   val auc: 0.8220561316187556,  test auc: 0.7456607358741574
epoch: 84,  train auc: 0.8722366812015082,   val auc: 0.8219023111504423,  test auc: 0.7456880156706369
epoch: 85,  train auc: 0.8726737985144281,   val auc: 0.8216124637461022,  test auc: 0.7451529335841959
epoch: 86,  train auc: 0.8729309748343315,   val auc: 0.8231646522982908,  test auc: 0.7454914822979708
epoch: 87,  train auc: 0.8733170763222272,   val auc: 0.8230450463004239,  test auc: 0.7454088861535495
epoch: 88,  train auc: 0.873613055813314,   val auc: 0.8197076414502806,  test auc: 0.7451822636195677
epoch: 89,  train auc: 0.873798513267816,   val auc: 0.8222937904709072,  test auc: 0.7456081986493325
epoch: 90,  train auc: 0.8741330871370885,   val auc: 0.8220253591818809,  test auc: 0.745599756290645
epoch: 91,  train auc: 0.8746029710983981,   val auc: 0.8195633275473856,  test auc: 0.7454772876694153
epoch: 92,  train auc: 0.8747912023216567,   val auc: 0.8220388074930408,  test auc: 0.7447973256376506
epoch: 93,  train auc: 0.8749582009908992,   val auc: 0.822605133717033,  test auc: 0.7452252088975245
epoch: 94,  train auc: 0.8755118116831764,   val auc: 0.8215300442219589,  test auc: 0.7455919092063693
epoch: 95,  train auc: 0.8757212931483519,   val auc: 0.8228438579980913,  test auc: 0.7446721187171567
epoch: 96,  train auc: 0.8761111120740047,   val auc: 0.8223262357694852,  test auc: 0.7444959632882704
epoch: 97,  train auc: 0.8766330997306315,   val auc: 0.8206663509527736,  test auc: 0.7436388709789823
epoch: 98,  train auc: 0.8767177475271737,   val auc: 0.8217909133469012,  test auc: 0.7445773360079576
epoch: 99,  train auc: 0.8770071279293606,   val auc: 0.81870720924695,  test auc: 0.7442000057335927
retinamnist
train  auc: 0.78944  acc: 0.53426
val  auc: 0.83896  acc: 0.55833
test  auc: 0.75078  acc: 0.50250
