epoch: 0,  train auc: 0.4389933989963342,   val auc: 0.4408938082721233,  test auc: 0.4394967867832666
epoch: 1,  train auc: 0.5539295527838576,   val auc: 0.5574611275874266,  test auc: 0.5557331084341622
epoch: 2,  train auc: 0.6563943779588199,   val auc: 0.6564814429571021,  test auc: 0.654288808384857
epoch: 3,  train auc: 0.5428564572947747,   val auc: 0.5426255435985434,  test auc: 0.542043391516169
epoch: 4,  train auc: 0.5519634150123511,   val auc: 0.5490644480551298,  test auc: 0.5497525753750445
epoch: 5,  train auc: 0.5701985775266791,   val auc: 0.571695348723011,  test auc: 0.5701849598899552
epoch: 6,  train auc: 0.5617802380242242,   val auc: 0.5639094067401947,  test auc: 0.5622419789682048
epoch: 7,  train auc: 0.5424965496701748,   val auc: 0.5444799919375938,  test auc: 0.5421233418828231
epoch: 8,  train auc: 0.5226874428416702,   val auc: 0.5192239461247027,  test auc: 0.5204016266260868
epoch: 9,  train auc: 0.5164629519951022,   val auc: 0.515465145135283,  test auc: 0.5192517932262471
epoch: 10,  train auc: 0.5409859204703796,   val auc: 0.5396368493945031,  test auc: 0.5409984069786389
epoch: 11,  train auc: 0.5668601631759305,   val auc: 0.5670828672516836,  test auc: 0.5672476219730855
epoch: 12,  train auc: 0.49394470977575794,   val auc: 0.4968163838806009,  test auc: 0.4932327637739685
epoch: 13,  train auc: 0.47193692512340707,   val auc: 0.4709264935458325,  test auc: 0.47407032496547963
epoch: 14,  train auc: 0.5010302078466997,   val auc: 0.5031182376813964,  test auc: 0.5008030716703228
epoch: 15,  train auc: 0.48640224306042307,   val auc: 0.4847282106746606,  test auc: 0.48478361078414234
epoch: 16,  train auc: 0.521655342373149,   val auc: 0.5209975200110257,  test auc: 0.5188427759127373
epoch: 17,  train auc: 0.5044451107565829,   val auc: 0.5033856318827892,  test auc: 0.5051642828102211
epoch: 18,  train auc: 0.5148446000105701,   val auc: 0.5100611072137246,  test auc: 0.5165661405735148
epoch: 19,  train auc: 0.4947799607395168,   val auc: 0.502024977750152,  test auc: 0.4953795296036284
epoch: 20,  train auc: 0.4958499948196561,   val auc: 0.49666273987172277,  test auc: 0.49305191177097984
