epoch: 0,  train auc: 0.8502613983222572,   val auc: 0.8474978404847407,  test auc: 0.8494040700774304
epoch: 1,  train auc: 0.8860544213476544,   val auc: 0.8824524103667922,  test auc: 0.8844887246212475
epoch: 2,  train auc: 0.8943352595767522,   val auc: 0.8901972021581113,  test auc: 0.8909257285796118
epoch: 3,  train auc: 0.9128722065662846,   val auc: 0.9064108648286491,  test auc: 0.9074473346822454
epoch: 4,  train auc: 0.9185376357631833,   val auc: 0.9110732175924531,  test auc: 0.9117402430135189
epoch: 5,  train auc: 0.9221521300079344,   val auc: 0.9129275893854703,  test auc: 0.9137436386358819
epoch: 6,  train auc: 0.9274815359483091,   val auc: 0.9166657839513168,  test auc: 0.9184443221214098
epoch: 7,  train auc: 0.9272141241784326,   val auc: 0.9166549615161642,  test auc: 0.9171552965996026
epoch: 8,  train auc: 0.9243099350382851,   val auc: 0.9120223743469664,  test auc: 0.9140597239290466
epoch: 9,  train auc: 0.9328413285662405,   val auc: 0.9202898239276552,  test auc: 0.920761218767364
epoch: 10,  train auc: 0.9393152922244898,   val auc: 0.9263550645967905,  test auc: 0.9268244666188397
epoch: 11,  train auc: 0.9408486101628812,   val auc: 0.9265572512156883,  test auc: 0.9272961522625759
epoch: 12,  train auc: 0.9434807814155866,   val auc: 0.9287186523456717,  test auc: 0.9287594893214615
epoch: 13,  train auc: 0.9449155162632448,   val auc: 0.9287022686059389,  test auc: 0.9293251551038738
epoch: 14,  train auc: 0.9452109229778392,   val auc: 0.9293743319049275,  test auc: 0.9293340857543112
epoch: 15,  train auc: 0.9474905597804609,   val auc: 0.9303114713443494,  test auc: 0.9301703662906603
epoch: 16,  train auc: 0.9504412405603834,   val auc: 0.9316937803746665,  test auc: 0.9317946912683908
epoch: 17,  train auc: 0.949363742190837,   val auc: 0.9304764321712402,  test auc: 0.9300088005901123
epoch: 18,  train auc: 0.9501129034771025,   val auc: 0.9305015337948109,  test auc: 0.9309824808403012
epoch: 19,  train auc: 0.9533207010040647,   val auc: 0.9315208275800732,  test auc: 0.9323774659514206
epoch: 20,  train auc: 0.9530166755644583,   val auc: 0.9297435730337578,  test auc: 0.9302567092497103
epoch: 21,  train auc: 0.9558329694379786,   val auc: 0.9329291996056253,  test auc: 0.9330608781341478
epoch: 22,  train auc: 0.9566927461081057,   val auc: 0.9323256247388033,  test auc: 0.932857049610776
epoch: 23,  train auc: 0.9587914734615031,   val auc: 0.9340274316696241,  test auc: 0.9342483856320597
epoch: 24,  train auc: 0.9591014066690664,   val auc: 0.932405083159334,  test auc: 0.9333123923667459
epoch: 25,  train auc: 0.9592100676653875,   val auc: 0.931877225371647,  test auc: 0.9315234032384537
