epoch,mean_test_auc,std_test_auc,count
0,0.977217,0.004116,5
1,0.992652,0.001748,5
2,0.996238,0.001175,5
3,0.996974,0.000988,5
4,0.997117,0.000399,5
5,0.998056,0.000542,5
6,0.998391,0.000401,5
7,0.998296,0.000383,5
8,0.998370,0.000342,5
9,0.998295,0.000237,5
10,0.998658,0.000133,5
11,0.998493,0.000500,5
12,0.998742,0.000504,5
13,0.998634,0.000693,5
14,0.998903,0.000337,5
15,0.998817,0.000204,5
16,0.998462,0.000203,5
17,0.998677,0.000322,5
18,0.998723,0.000271,5
19,0.998716,0.000484,5
20,0.998903,0.000258,5
21,0.999035,0.000183,5
22,0.999037,0.000149,5
23,0.998932,0.000206,5
24,0.998765,0.000296,5
25,0.999054,0.000127,5
26,0.998947,0.000168,5
27,0.999129,0.000131,5
28,0.998899,0.000360,5
29,0.999108,0.000169,5
30,0.998973,0.000266,5
31,0.998958,0.000228,5
32,0.998947,0.000177,5
33,0.998835,0.000279,5
34,0.998906,0.000251,5
35,0.998863,0.000195,5
36,0.998848,0.000359,5
37,0.998742,0.000412,5
38,0.998843,0.000296,5
39,0.998905,0.000375,5
40,0.998873,0.000261,5
41,0.998931,0.000274,5
42,0.999027,0.000033,5
43,0.998935,0.000256,5
44,0.998951,0.000154,5
45,0.998866,0.000157,5
46,0.998994,0.000130,5
47,0.998862,0.000159,5
48,0.998928,0.000381,5
49,0.999034,0.000089,5
50,0.999205,0.000089,5
51,0.999227,0.000099,5
52,0.999229,0.000089,5
53,0.999237,0.000085,5
54,0.999231,0.000075,5
55,0.999241,0.000068,5
56,0.999231,0.000065,5
57,0.999229,0.000065,5
58,0.999197,0.000059,5
59,0.999214,0.000057,5
60,0.999211,0.000035,5
61,0.999214,0.000083,5
62,0.999213,0.000066,5
63,0.999206,0.000060,5
64,0.999190,0.000036,5
65,0.999199,0.000040,5
66,0.999222,0.000038,5
67,0.999214,0.000038,5
68,0.999188,0.000063,5
69,0.999187,0.000040,5
70,0.999209,0.000052,5
71,0.999197,0.000046,5
72,0.999197,0.000042,5
73,0.999169,0.000020,5
74,0.999146,0.000087,5
75,0.999166,0.000071,5
76,0.999177,0.000064,5
77,0.999179,0.000058,5
78,0.999184,0.000061,5
79,0.999182,0.000057,5
80,0.999181,0.000060,5
81,0.999187,0.000056,5
82,0.999188,0.000056,5
83,0.999183,0.000051,5
84,0.999183,0.000046,5
85,0.999184,0.000047,5
86,0.999187,0.000045,5
87,0.999183,0.000045,5
88,0.999184,0.000048,5
89,0.999191,0.000047,5
90,0.999189,0.000044,5
91,0.999188,0.000038,5
92,0.999186,0.000040,5
93,0.999186,0.000042,5
94,0.999187,0.000048,5
95,0.999185,0.000049,5
96,0.999188,0.000048,5
97,0.999185,0.000053,5
98,0.999185,0.000051,5
99,0.999180,0.000054,5
