epoch,mean_test_auc,std_test_auc,count
0,0.961219,0.025850,5
1,0.990933,0.000956,5
2,0.993649,0.001157,5
3,0.994414,0.001214,5
4,0.995018,0.000483,5
5,0.994979,0.001083,5
6,0.995737,0.000147,5
7,0.995295,0.001232,5
8,0.995759,0.000700,5
9,0.994974,0.001770,5
10,0.996271,0.000422,5
11,0.995552,0.000740,5
12,0.995883,0.001004,5
13,0.996108,0.000682,5
14,0.995826,0.001156,5
15,0.996285,0.000727,5
16,0.996037,0.000577,5
17,0.996140,0.000892,5
18,0.996432,0.000495,5
19,0.996578,0.000125,5
20,0.996397,0.000272,5
21,0.996565,0.000692,5
22,0.996016,0.000533,5
23,0.996613,0.001156,5
24,0.996164,0.001742,5
25,0.997035,0.000233,5
26,0.996991,0.000369,5
27,0.997092,0.000196,5
28,0.996926,0.000502,5
29,0.996565,0.000398,5
30,0.996855,0.000624,5
31,0.996628,0.000603,5
32,0.997059,0.000348,5
33,0.996376,0.000668,5
34,0.996784,0.000278,5
35,0.996972,0.000571,5
36,0.996874,0.000341,5
37,0.996759,0.000358,5
38,0.996854,0.000328,5
39,0.996472,0.000584,5
40,0.996842,0.000307,5
41,0.996788,0.000659,5
42,0.996810,0.000875,5
43,0.996639,0.000308,5
44,0.997357,0.000232,5
45,0.996655,0.000822,5
46,0.997066,0.000354,5
47,0.996777,0.000842,5
48,0.996423,0.000735,5
49,0.996897,0.000627,5
50,0.997701,0.000207,5
51,0.997740,0.000135,5
52,0.997747,0.000146,5
53,0.997793,0.000138,5
54,0.997832,0.000110,5
55,0.997807,0.000155,5
56,0.997838,0.000164,5
57,0.997869,0.000189,5
58,0.997899,0.000129,5
59,0.997872,0.000159,5
60,0.998002,0.000057,5
61,0.997948,0.000181,4
62,0.997823,0.000264,3
63,0.997943,0.000121,3
64,0.997874,0.000182,3
65,0.997981,0.000035,3
66,0.997881,0.000136,3
67,0.997963,0.000116,3
68,0.997898,0.000110,3
69,0.997938,0.000103,3
70,0.997939,0.000036,3
71,0.997977,0.000051,3
72,0.997784,0.000127,3
73,0.997824,0.000069,3
74,0.997839,0.000034,3
75,0.997875,0.000026,3
76,0.997880,0.000032,3
77,0.997910,0.000023,3
78,0.997893,0.000037,3
79,0.997897,0.000030,3
80,0.997883,0.000036,3
81,0.997904,0.000031,3
82,0.997909,0.000034,3
83,0.997919,0.000020,3
84,0.997922,0.000005,3
85,0.997918,0.000011,3
86,0.997918,0.000021,3
87,0.997932,0.000050,3
88,0.997939,0.000052,3
89,0.997929,0.000060,3
90,0.997940,0.000041,3
91,0.997951,0.000057,3
92,0.997962,0.000034,3
93,0.997927,0.000036,3
94,0.997892,0.000028,3
95,0.997922,0.000049,3
96,0.997947,0.000032,3
97,0.997956,0.000039,3
98,0.997939,0.000056,3
99,0.997942,0.000044,3
