epoch,mean_test_auc,std_test_auc,count
0,0.941033,0.005221,5
1,0.960677,0.004550,5
2,0.966948,0.000896,5
3,0.969381,0.002185,5
4,0.970172,0.000536,5
5,0.969752,0.001606,5
6,0.970978,0.001941,5
7,0.970971,0.001464,5
8,0.970136,0.003612,5
9,0.972259,0.000526,5
10,0.973665,0.001403,5
11,0.971514,0.002401,5
12,0.972211,0.001523,5
13,0.973044,0.001438,5
14,0.973578,0.000919,5
15,0.971704,0.001443,5
16,0.973870,0.000853,5
17,0.974503,0.001032,4
18,0.974384,0.001064,4
19,0.973598,0.001503,4
20,0.974188,0.000696,4
21,0.973967,0.001318,4
22,0.972190,0.004360,3
23,0.973263,0.003108,3
24,0.972564,0.000428,2
25,0.972564,0.002137,2
26,0.972717,0.000452,2
27,0.973283,0.002193,2
28,0.971907,0.003441,2
29,0.971067,0.000635,2
30,0.973908,0.000068,2
31,0.973454,0.000463,2
32,0.973802,0.000338,2
33,0.972524,0.001878,2
34,0.973584,0.002994,2
35,0.974007,0.000979,2
36,0.971770,0.000574,2
37,0.972248,0.000674,2
38,0.973401,0.002080,2
39,0.973340,0.000096,2
40,0.972092,0.000630,2
41,0.973260,0.001669,2
42,0.974012,0.000226,2
43,0.973507,0.000638,2
44,0.971462,0.000088,2
45,0.973421,0.000788,2
46,0.973543,0.002289,2
47,0.971583,0.000727,2
48,0.970903,0.002026,2
49,0.971837,0.000559,2
50,0.975228,0.000542,2
51,0.975369,0.000635,2
52,0.975362,0.000819,2
53,0.975507,0.000538,2
54,0.975362,0.000512,2
55,0.975467,0.000713,2
56,0.975420,0.000766,2
57,0.975553,0.000708,2
58,0.975428,0.000801,2
59,0.975166,0.000724,2
60,0.975213,0.000930,2
61,0.975189,0.001267,2
62,0.975030,0.000942,2
63,0.974992,0.000747,2
64,0.974939,0.000761,2
65,0.974694,0.000431,2
66,0.974564,0.000481,2
67,0.974437,0.000995,2
68,0.974540,0.001240,2
69,0.974376,0.000838,2
70,0.974307,0.000407,2
71,0.974266,0.000922,2
72,0.973883,0.001074,2
73,0.974129,0.000998,2
74,0.974115,0.000880,2
75,0.974279,0.000796,2
76,0.974287,0.000800,2
77,0.974278,0.000722,2
78,0.974279,0.000652,2
79,0.974343,0.000700,2
80,0.974347,0.000713,2
81,0.974341,0.000727,2
82,0.974291,0.000685,2
83,0.974346,0.000659,2
84,0.974412,0.000704,2
85,0.974381,0.000724,2
86,0.974353,0.000812,2
87,0.974304,0.000799,2
88,0.974310,0.000680,2
89,0.974247,0.000679,2
90,0.974190,0.000668,2
91,0.974218,0.000664,2
92,0.974267,0.000724,2
93,0.974263,0.000756,2
94,0.974227,0.000800,2
95,0.974214,0.000724,2
96,0.974212,0.000676,2
97,0.974141,0.000682,2
98,0.974115,0.000820,2
99,0.974062,0.000885,2
